ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000001,Arsj,544.3846219,0.942923595,0.071210087,13.241433,5.06E-40,6.16E-39
ENSRNOG00000000007,Gad1,2.7263854,1.408210005,1.252417715,1.124393234,0.260846241,0.358353387
ENSRNOG00000000008,Alx4,0.46842069,0,4.042070089,0,1,
ENSRNOG00000000009,Tmco5b,0.494982762,2.924053513,2.758219183,1.060123696,0.289088329,
ENSRNOG00000000010,Cbln1,0.114894613,0.736744897,5.267904354,0.139855405,0.888774237,
ENSRNOG00000000012,Tcf15,0.274722856,0.736744897,5.267904354,0.139855405,0.888774237,
ENSRNOG00000000017,Steap1,1047.884688,1.175778517,0.081724595,14.38708277,6.24E-47,8.85E-46
ENSRNOG00000000021,AABR07061902.1,563.6895687,0.035532177,0.084520046,0.420399399,0.674193707,0.757433816
ENSRNOG00000000024,Hebp1,1417.580316,0.036389448,0.09296958,0.391412419,0.695492414,0.774746708
ENSRNOG00000000033,Tmcc2,422.2908756,-0.310983225,0.088462848,-3.515410498,0.000439075,0.001087857
ENSRNOG00000000034,Nuak2,1539.737042,-1.586503116,0.062804071,-25.26115088,8.54E-141,4.08E-139
ENSRNOG00000000035,Tmed11,0.380386916,0.736748552,4.222481427,0.174482367,0.861486388,
ENSRNOG00000000036,Klhdc8a,549.5366183,-2.008582521,0.08722578,-23.0273953,2.48E-117,9.70E-116
ENSRNOG00000000040,RGD1304622,763.4952119,-1.231210327,0.088995642,-13.83450132,1.58E-43,2.07E-42
ENSRNOG00000000041,Slc26a1,77.72764126,-0.419920865,0.224603223,-1.869611931,0.061537727,0.103595215
ENSRNOG00000000042,Xpr1,719.556346,-0.105415347,0.137257119,-0.768013697,0.442479048,0.548566542
ENSRNOG00000000043,Idua,1159.243891,0.523358479,0.091899879,5.694876678,1.23E-08,4.72E-08
ENSRNOG00000000044,Tmem175,985.6199197,-0.037782656,0.054390384,-0.694656919,0.487270332,0.591990126
ENSRNOG00000000047,Cd82,6861.967565,-0.037846777,0.051743861,-0.731425443,0.464519329,0.570239293
ENSRNOG00000000048,Gak,3053.39104,-0.011670275,0.058917773,-0.198077333,0.842984559,0.891195531
ENSRNOG00000000053,Crp,0.615787757,-2.074305542,2.481398481,-0.835942134,0.403187457,
ENSRNOG00000000054,Abhd8,794.8482736,-0.082207707,0.072971586,-1.126571472,0.259923706,0.357334742
ENSRNOG00000000055,Fcrl6,0.229307182,0,4.729146952,0,1,
ENSRNOG00000000060,unkown,8.302677352,0.33657982,0.633336887,0.531438839,0.595114713,0.689031193
ENSRNOG00000000062,Pcgf3,1386.568209,-0.258125387,0.097520728,-2.646877164,0.008123886,0.016614445
ENSRNOG00000000064,Atp5me,1625.157663,0.448637604,0.139692965,3.211597697,0.001319991,0.003056006
ENSRNOG00000000065,Pde6b,11.19010613,0.275168243,0.514637069,0.53468407,0.592868339,0.687326378
ENSRNOG00000000066,Fbxo28,908.6279465,0.725784774,0.070619207,10.27744153,8.91E-25,7.13E-24
ENSRNOG00000000068,Ppp2r5a,1640.418595,0.192651198,0.056241371,3.425435695,0.000613814,0.001492685
