ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000046319,Arsj,0.131932699,-0.957485523,5.267904354,-0.181758335,0.855772384,
ENSRNOG00000050370,Gad1,0.042910812,0,5.267904354,0,1,
ENSRNOG00000040300,Alx4,20.11897406,-0.083937437,0.470199334,-0.17851458,0.858318872,0.905908515
ENSRNOG00000058808,Tmco5b,0.042910812,0,5.267904354,0,1,
ENSRNOG00000061316,Cbln1,1566.319447,-0.536560585,0.077145599,-6.955167746,3.52E-12,1.87E-11
ENSRNOG00000040316,Tcf15,1.763805603,-1.641463121,1.507977873,-1.088519367,0.276365891,0.388735196
ENSRNOG00000023659,Steap1,8.288332489,0.374570934,0.767781115,0.487861614,0.625647865,0.730223244
ENSRNOG00000029897,AABR07061902.1,6.87371607,-1.284549804,0.70885135,-1.812156815,0.06996197,0.121758164
ENSRNOG00000042852,Hebp1,1.398699629,-2.426773826,1.703347303,-1.424708761,0.154241405,0.240446005
ENSRNOG00000014303,Tmcc2,613.8744961,0.307574969,0.065980686,4.661590938,3.14E-06,1.08E-05
ENSRNOG00000051899,Nuak2,0.054768568,-0.957485523,5.267904354,-0.181758335,0.855772384,
ENSRNOG00000014330,Tmed11,1533.16384,0.057301162,0.058408121,0.981047861,0.32656914,0.445646355
ENSRNOG00000049505,Klhdc8a,475.2858755,-0.760392149,0.102682629,-7.405265689,1.31E-13,7.56E-13
ENSRNOG00000014916,RGD1304622,2106.282419,-0.491547585,0.079583688,-6.176486605,6.55E-10,3.02E-09
ENSRNOG00000014996,Slc26a1,694.2986954,-0.310895868,0.067575304,-4.600732082,4.21E-06,1.43E-05
ENSRNOG00000015239,Xpr1,1570.558172,1.481287507,0.060361612,24.54022451,5.50E-133,2.60E-131
ENSRNOG00000055508,Idua,0.112635444,-0.957485523,5.267904354,-0.181758335,0.855772384,
ENSRNOG00000053710,Tmem175,0.200921625,-0.80090463,5.241555496,-0.152799036,0.878556758,
ENSRNOG00000015552,Cd82,1259.343431,0.128608127,0.050015247,2.571378433,0.010129457,0.021519779
ENSRNOG00000016041,Gak,1.213890782,1.390849616,1.821675398,0.763500247,0.445165115,0.566361738
ENSRNOG00000016054,Crp,3487.932657,0.189243531,0.065645482,2.882811189,0.003941436,0.009051386
ENSRNOG00000016381,Abhd8,462.0819393,0.676081016,0.128673407,5.254240426,1.49E-07,5.77E-07
ENSRNOG00000013160,Fcrl6,3867.036534,0.730441685,0.071402588,10.22990494,1.46E-24,1.32E-23
ENSRNOG00000023549,unkown,209.7373384,-4.669670879,0.284431318,-16.41756934,1.43E-60,2.82E-59
ENSRNOG00000031859,Pcgf3,0.095461088,0.966081174,5.267904354,0.183390037,0.854491993,
ENSRNOG00000013351,Atp5me,1270.283051,-0.326332167,0.079680883,-4.095488825,4.21E-05,0.000128422
ENSRNOG00000061755,Pde6b,0.048149696,0,5.267904354,0,1,
ENSRNOG00000042741,Fbxo28,9.128939492,-1.018844946,0.569800814,-1.788072112,0.073764374,0.127481138
ENSRNOG00000014258,Ppp2r5a,2060.36647,-1.067103152,0.051830658,-20.58826192,3.50E-94,1.10E-92
ENSRNOG00000014290,Dr1,0.504290304,-1.477553804,2.112195511,-0.699534582,0.484218009,
ENSRNOG00000014431,Tmed5,26.63220893,0.328784858,0.382098651,0.860471132,0.38952939,0.511664723
ENSRNOG00000014450,Mtf2,940.2234656,-0.161992677,0.105920471,-1.529380253,0.126170205,0.203029566
ENSRNOG00000014852,Antxr2,2194.665386,0.306042577,0.064704827,4.729826074,2.25E-06,7.80E-06
ENSRNOG00000040242,Hltf,45.03978735,-1.191665894,0.257558585,-4.626776063,3.71E-06,1.27E-05
ENSRNOG00000011058,Smad9,7876.711991,-0.715071603,0.133503392,-5.356205498,8.50E-08,3.37E-07
ENSRNOG00000014902,Gpr89b,263.2413603,0.101230904,0.116406431,0.869633263,0.384500854,0.506997686
ENSRNOG00000014908,Pdzk1,2564.112571,-0.168802185,0.106187655,-1.589659215,0.111911642,0.182981061
ENSRNOG00000036310,unkown,0.102584878,0,5.267904354,0,1,
ENSRNOG00000025587,Rnf115,4.362893791,-0.20485385,0.8205786,-0.249645616,0.802861419,0.865347378
ENSRNOG00000042705,Thoc3,0.087464079,0,5.267904354,0,1,
ENSRNOG00000015217,Cplx2,1292.881569,-0.164312768,0.056124028,-2.927672436,0.003415096,0.007936633
ENSRNOG00000015473,Aga,163.1690676,0.288282741,0.16000282,1.801735375,0.07158705,0.124147392
ENSRNOG00000015551,Coprs,223.4504895,1.24668887,0.158356296,7.872682663,3.47E-15,2.19E-14
ENSRNOG00000015660,Champ1,517.5648286,0.006962806,0.077855575,0.089432332,0.928738329,0.960489165
ENSRNOG00000046983,Elac1,95.59956896,0.194812876,0.18221327,1.069147579,0.285003175,0.398571097
ENSRNOG00000016624,Pigv,0.120483855,0,5.267904354,0,1,
ENSRNOG00000010753,Ak2,2304.499828,-0.195888192,0.05930544,-3.303039201,0.00095643,0.002442854
ENSRNOG00000011015,Rnf19b,1887.664763,-0.367806007,0.127244552,-2.890544241,0.003845754,0.008852866
ENSRNOG00000011399,Kpna6,32.98938547,0.430006749,0.261959339,1.641501885,0.100693276,0.166929927
ENSRNOG00000011411,Phf24,5931.942683,-0.879903881,0.07056811,-12.46886,1.10E-35,1.35E-34
ENSRNOG00000011540,Dnajb5,2525.336254,-0.385082622,0.063622519,-6.052615168,1.43E-09,6.45E-09
ENSRNOG00000012092,Txndc15,1.020053179,-1.429097671,2.034433543,-0.702454831,0.482395561,0.601320904
ENSRNOG00000012103,Ly86,65.90344976,-1.527280611,0.230543366,-6.624699883,3.48E-11,1.74E-10
ENSRNOG00000059032,Glis1,0.04373204,0,5.267904354,0,1,
ENSRNOG00000047193,Plxdc2,0.069588362,0,5.267904354,0,1,
ENSRNOG00000060990,Pik3r3,253.8075788,-0.354566929,0.13703634,-2.587393453,0.00967051,0.020645915
ENSRNOG00000058425,Dnajc1,29.7126867,0.54340251,0.313838105,1.731473971,0.083367263,0.141887966
ENSRNOG00000051831,Ldlrap1,233.7557704,-0.010186057,0.194452961,-0.052383143,0.958223406,0.982874945
ENSRNOG00000052007,Cog3,2.740366484,0.004297878,1.773462775,0.002423439,0.998066378,1
ENSRNOG00000061685,Megf6,4.702711742,-0.89105444,1.638112363,-0.543951966,0.586474528,0.696056284
ENSRNOG00000047746,Atg12,16294.03623,0.007819475,0.161124986,0.048530491,0.961293464,0.984928282
ENSRNOG00000053888,Cdo1,294.066682,0.004748307,0.195127178,0.024334424,0.980585855,0.997588691
ENSRNOG00000055836,Chm,3637.68673,0.27580627,0.135131143,2.041026696,0.041248174,0.076423898
ENSRNOG00000060657,Lamp2,6310.641211,0.269840498,0.16786548,1.607480577,0.107948987,0.177456129
ENSRNOG00000059898,Pfkfb1,176.6420023,0.079090806,0.132742372,0.595821851,0.551294245,0.664743395
ENSRNOG00000055789,Apex2,1.480116883,-0.439530637,1.422488876,-0.308987047,0.75733138,0.83062887
ENSRNOG00000060284,Alas2,0.153399203,0.966081174,5.267904354,0.183390037,0.854491993,
ENSRNOG00000059861,Gatm,0.057099812,0.966081174,5.267904354,0.183390037,0.854491993,
ENSRNOG00000056940,Spata5l1,4309.953609,-0.019060302,0.052364695,-0.363991453,0.715864392,0.799301437
ENSRNOG00000055972,Slc30a4,6.630301646,0.333346324,0.696782663,0.47840789,0.632359919,0.735464714
ENSRNOG00000060021,Sqor,1.519031755,-1.560172005,1.553563466,-1.004253794,0.315256299,0.432852945
ENSRNOG00000060610,Mier2,0.898896312,1.854433956,1.734187026,1.069339078,0.284916908,0.39849258
ENSRNOG00000060972,Plpp2,828.78123,0.04178691,0.05873346,0.711466852,0.476794985,0.596476848
ENSRNOG00000051450,Tmprss6,3777.897626,0.324502737,0.075149705,4.318083956,1.57E-05,5.04E-05
ENSRNOG00000059224,Mpst,917.5250476,-0.304621532,0.068960027,-4.41736389,9.99E-06,3.26E-05
ENSRNOG00000055142,Tst,1.037833522,0.449513408,1.677362893,0.267988167,0.788708427,0.855103242
ENSRNOG00000052189,Ep300,0.815199833,1.921222928,2.37819872,0.807847936,0.419178126,0.54184653
ENSRNOG00000053347,Vwa5a,212.7832924,0.948744609,0.132212396,7.175912667,7.18E-13,3.97E-12
ENSRNOG00000059393,Cyp19a1,0.092881301,0,5.267904354,0,1,
ENSRNOG00000060603,Dppa5,1462.726149,-1.206899726,0.120288302,-10.0333923,1.09E-23,9.53E-23
ENSRNOG00000053735,Gsta5,365.922098,-0.197363349,0.113489701,-1.739041933,0.082027387,0.139882082
ENSRNOG00000011460,Syncrip,0.330608224,2.474252368,3.549388227,0.697092628,0.485744827,
ENSRNOG00000011994,Ano10,0.048128431,0,5.267904354,0,1,
ENSRNOG00000049517,Abhd5,116.4285613,-1.987094598,0.197997279,-10.03596922,1.06E-23,9.29E-23
ENSRNOG00000012057,Lmf1,0.144674461,0,5.267904354,0,1,
ENSRNOG00000012074,Kctd17,1474.620128,-0.026421632,0.048862702,-0.540732109,0.588692244,0.698006019
ENSRNOG00000012259,Grm6,0.544918524,0.725114552,3.082215808,0.235257554,0.814008838,
ENSRNOG00000012286,Zfp207,0.141009732,0,5.267904354,0,1,
ENSRNOG00000012311,RGD1310429,0.050895493,0,5.267904354,0,1,
ENSRNOG00000012322,Ccl7,314.7581829,0.456184257,0.098202479,4.645343607,3.40E-06,1.16E-05
ENSRNOG00000031700,Coil,666.7739123,0.539100806,0.094693761,5.69309742,1.25E-08,5.28E-08
ENSRNOG00000054452,Slc16a6,3.162616415,0.971869881,1.009057764,0.963145933,0.335474294,0.455070567
ENSRNOG00000012701,Amz2,8.348599055,-0.649999425,0.728332841,-0.892448326,0.372152678,0.494363775
ENSRNOG00000058050,Mfsd11,3918.519594,0.215945291,0.081024402,2.665188332,0.007694522,0.016729338
ENSRNOG00000013436,Srsf2,0.091039243,0,5.267904354,0,1,
ENSRNOG00000053617,Mettl23,0.057866877,0,5.267904354,0,1,
ENSRNOG00000013969,Jmjd6,611.5374056,0.062000548,0.103670826,0.598052027,0.549805219,0.663527291
ENSRNOG00000055858,St6galnac1,4.937360436,-2.414437269,1.578062032,-1.530001496,0.126016359,0.202817844
ENSRNOG00000014531,Smpd3,3073.991387,0.071101442,0.038061922,1.868046559,0.061755582,0.109168436
ENSRNOG00000014907,Prmt7,12.21739468,2.275676091,0.488601613,4.657528812,3.20E-06,1.10E-05
ENSRNOG00000048762,Zfp821,0.055265531,0,5.267904354,0,1,
ENSRNOG00000047605,Def8,3.929467942,0.857590078,0.75688093,1.133058112,0.25718985,0.367002379
ENSRNOG00000046617,Phyhipl,87.64876745,0.180253933,0.193052242,0.933705464,0.350455846,0.471355347
ENSRNOG00000028519,Fam13c,0.480062966,-0.544691057,2.532771588,-0.215057315,0.829722633,
ENSRNOG00000011134,Tet1,734.6313896,1.694272608,0.119549087,14.17219191,1.36E-45,2.10E-44
ENSRNOG00000046438,Rtn4ip1,1.804250986,1.573007905,1.145911463,1.3727133,0.169841493,0.26063735
ENSRNOG00000011245,Prodh1,1191.21158,-0.887572792,0.059762891,-14.85157042,6.80E-50,1.14E-48
ENSRNOG00000030796,Ess2,2.097229291,1.684059295,1.124609328,1.49746161,0.134273188,0.214018028
ENSRNOG00000051380,Scarf2,1.518689048,2.95451351,1.794721092,1.646224321,0.099717584,0.165508286
ENSRNOG00000011720,Foxo3,319.7570569,-0.420130038,0.12340932,-3.404362322,0.000663187,0.001739493
ENSRNOG00000033517,Sesn1,986.7230293,0.307252105,0.10968522,2.801217031,0.005091027,0.011470084
ENSRNOG00000039955,Cep57l1,0.049970489,0,5.267904354,0,1,
