ENSEMBL ID,Gene Symbols,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000001,Arsj,544.3846219,0.673505617,0.065527327,10.27824033,8.83E-25,5.24E-24
ENSRNOG00000000007,Gad1,2.7263854,-0.342441667,1.006357686,-0.340278285,0.733646969,0.808233111
ENSRNOG00000000008,Alx4,0.46842069,-2.86226675,3.919459,-0.730270874,0.465224628,0.573615142
ENSRNOG00000000009,Tmco5b,0.494982762,2.523370265,2.758219183,0.914854875,0.360267822,0.467561383
ENSRNOG00000000010,Cbln1,0.114894613,1.29784884,5.267904354,0.246369097,0.805396526,
ENSRNOG00000000012,Tcf15,0.274722856,1.29784884,5.267904354,0.246369097,0.805396526,
ENSRNOG00000000017,Steap1,1047.884688,0.941048438,0.079206773,11.88090877,1.49E-32,1.08E-31
ENSRNOG00000000021,AABR07061902.1,563.6895687,-0.156509727,0.080611639,-1.941527666,0.052194307,0.087727055
ENSRNOG00000000024,Hebp1,1417.580316,-0.217142111,0.091550917,-2.371817972,0.017700809,0.032487173
ENSRNOG00000000033,Tmcc2,422.2908756,-0.048246478,0.086421339,-0.558270429,0.576659735,0.675993884
ENSRNOG00000000034,Nuak2,1539.737042,-0.468099684,0.064186049,-7.292857164,3.03E-13,1.22E-12
ENSRNOG00000000035,Tmed11,0.380386916,1.297855279,4.222481427,0.307367907,0.758563353,
ENSRNOG00000000036,Klhdc8a,549.5366183,-1.974702208,0.085155309,-23.18941992,5.82E-119,1.36E-117
ENSRNOG00000000040,RGD1304622,763.4952119,-1.109394063,0.087443456,-12.68698781,6.98E-37,5.60E-36
ENSRNOG00000000041,Slc26a1,77.72764126,-0.502380045,0.215617321,-2.32996144,0.019808189,0.036074645
ENSRNOG00000000042,Xpr1,719.556346,-0.166921635,0.135680226,-1.230257643,0.21860064,0.309913991
ENSRNOG00000000043,Idua,1159.243891,0.698445912,0.090960782,7.678539003,1.61E-14,6.79E-14
ENSRNOG00000000044,Tmem175,985.6199197,0.168099883,0.052774171,3.185268086,0.0014462,0.003086593
ENSRNOG00000000047,Cd82,6861.967565,-0.096040675,0.051312499,-1.871681885,0.061250627,0.101504148
ENSRNOG00000000048,Gak,3053.39104,0.031131628,0.058163151,0.53524658,0.59247936,0.689127025
ENSRNOG00000000053,Crp,0.615787757,-0.517090926,2.585454185,-0.200000034,0.841480554,0.89104061
ENSRNOG00000000054,Abhd8,794.8482736,-0.550371809,0.068958811,-7.981167349,1.45E-15,6.37E-15
