ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000001,Arsj,544.3846219,1.080027781,0.069031212,15.64549933,3.57E-55,4.82E-54
ENSRNOG00000000007,Gad1,2.7263854,0.37954249,1.062920673,0.357075086,0.721035596,0.791439891
ENSRNOG00000000008,Alx4,0.46842069,-1.698898137,3.996202276,-0.425128164,0.670743248,
ENSRNOG00000000009,Tmco5b,0.494982762,1.464569887,2.692435453,0.543957288,0.586470865,
ENSRNOG00000000010,Cbln1,0.114894613,1.151444301,5.267904354,0.218577298,0.826979339,
ENSRNOG00000000012,Tcf15,0.274722856,1.151444301,5.267904354,0.218577298,0.826979339,
ENSRNOG00000000017,Steap1,1047.884688,1.333678617,0.080724192,16.52142426,2.57E-61,3.82E-60
ENSRNOG00000000021,AABR07061902.1,563.6895687,-0.219739351,0.080953001,-2.714406492,0.006639464,0.012964967
ENSRNOG00000000024,Hebp1,1417.580316,0.197268398,0.092405644,2.134808985,0.032776616,0.056669036
ENSRNOG00000000033,Tmcc2,422.2908756,-0.121612016,0.086887448,-1.399649994,0.161618155,0.235345292
ENSRNOG00000000034,Nuak2,1539.737042,-0.751771305,0.0637855,-11.78592783,4.61E-32,3.78E-31
ENSRNOG00000000035,Tmed11,0.380386916,0.189661893,4.222481427,0.044917165,0.964173335,
ENSRNOG00000000036,Klhdc8a,549.5366183,-1.897683794,0.085947106,-22.07967055,4.96E-108,1.41E-106
ENSRNOG00000000040,RGD1304622,763.4952119,-1.303714786,0.087302252,-14.93334661,2.00E-50,2.46E-49
ENSRNOG00000000041,Slc26a1,77.72764126,-0.628147504,0.215846188,-2.910162603,0.003612408,0.007351163
ENSRNOG00000000042,Xpr1,719.556346,-0.099199229,0.136124498,-0.728738984,0.466161342,0.565003838
ENSRNOG00000000043,Idua,1159.243891,0.656106955,0.091173743,7.196227021,6.19E-13,2.64E-12
ENSRNOG00000000044,Tmem175,985.6199197,0.116079083,0.053172882,2.183050451,0.029032095,0.050729561
ENSRNOG00000000047,Cd82,6861.967565,0.209619402,0.051592447,4.06298624,4.84E-05,0.000122287
ENSRNOG00000000048,Gak,3053.39104,0.014039674,0.058318099,0.240743002,0.809754308,0.861206313
ENSRNOG00000000053,Crp,0.615787757,-1.311399404,2.509261343,-0.522623683,0.601236157,0.689794724
ENSRNOG00000000054,Abhd8,794.8482736,-0.248008812,0.070379709,-3.523868134,0.000425296,0.000973487
ENSRNOG00000000055,Fcrl6,0.229307182,-1.688259716,4.690809478,-0.35990797,0.718915957,
ENSRNOG00000000060,unkown,8.302677352,-0.012688942,0.592734878,-0.021407449,0.982920632,0.987693407
ENSRNOG00000000062,Pcgf3,1386.568209,-0.216873567,0.096771786,-2.241082613,0.025020724,0.044263857
ENSRNOG00000000064,Atp5me,1625.157663,0.526580784,0.139238861,3.781852141,0.000155666,0.000374482
ENSRNOG00000000065,Pde6b,11.19010613,0.47660509,0.50484715,0.944058197,0.34513991,0.443723466
ENSRNOG00000000066,Fbxo28,908.6279465,0.518047331,0.067866575,7.633320671,2.29E-14,1.05E-13
ENSRNOG00000000068,Ppp2r5a,1640.418595,0.117024502,0.054811472,2.135036645,0.032758017,0.05664483
ENSRNOG00000000070,Dr1,2004.91309,0.175248558,0.051026198,3.434482011,0.000593687,0.001334606
ENSRNOG00000000073,Tmed5,443.1323095,0.310512618,0.091633071,3.388652296,0.00070237,0.001567892
ENSRNOG00000000075,Mtf2,563.8894429,-0.63759228,0.083990272,-7.591263425,3.17E-14,1.44E-13
ENSRNOG00000000081,Antxr2,1018.554076,0.389539459,0.101042145,3.855217651,0.000115627,0.0002823
ENSRNOG00000000082,Hltf,893.970603,-0.512142413,0.08623436,-5.938960005,2.87E-09,1.00E-08
ENSRNOG00000000091,Smad9,492.2513043,0.598569868,0.094296732,6.347726546,2.19E-10,8.12E-10
ENSRNOG00000000095,Gpr89b,1332.497354,0.350777283,0.055855986,6.280030308,3.39E-10,1.24E-09
ENSRNOG00000000096,Pdzk1,263.4788303,0.020734201,0.111347816,0.186211113,0.852279209,0.895554595
ENSRNOG00000000097,unkown,2.381570564,1.3008847,0.978793833,1.329069163,0.183825153,0.263220621
ENSRNOG00000000098,Rnf115,2355.871677,0.147778273,0.04541395,3.254028156,0.00113781,0.002474699
ENSRNOG00000000104,Thoc3,1080.095491,-0.918264374,0.060889593,-15.08080992,2.17E-51,2.71E-50
ENSRNOG00000000105,Cplx2,829.8981245,-1.300229475,0.114684191,-11.33747783,8.56E-30,6.61E-29
ENSRNOG00000000108,Aga,1722.882548,0.631653064,0.062369698,10.12756335,4.17E-24,2.76E-23
ENSRNOG00000000111,Coprs,236.6882795,-0.486457133,0.118415176,-4.108064091,3.99E-05,0.00010158
ENSRNOG00000000112,Champ1,1325.468382,-0.026870991,0.06214402,-0.432398668,0.665451686,0.74516022
ENSRNOG00000000113,Elac1,252.4544469,0.449732701,0.105907086,4.246483583,2.17E-05,5.67E-05
ENSRNOG00000000121,Pigv,366.1655026,-0.208119174,0.090127446,-2.309165348,0.020934408,0.037660426
ENSRNOG00000000122,Ak2,2170.216196,-0.425310271,0.051980881,-8.182051968,2.79E-16,1.40E-15
ENSRNOG00000000123,Rnf19b,1593.954506,-0.288715851,0.052927688,-5.45491147,4.90E-08,1.58E-07
ENSRNOG00000000127,Kpna6,2550.263249,-0.369804487,0.059567687,-6.208139067,5.36E-10,1.95E-09
ENSRNOG00000000129,Phf24,176.5925116,-2.786261539,0.192968357,-14.4389556,2.94E-47,3.38E-46
ENSRNOG00000000130,Dnajb5,1051.534882,-0.002451073,0.058561977,-0.041854339,0.966614816,0.975885487
ENSRNOG00000000133,Txndc15,1350.909925,0.568151408,0.064791254,8.768952245,1.80E-18,9.86E-18
ENSRNOG00000000137,Ly86,0.280219935,-2.228516275,4.422631786,-0.503889173,0.614339259,
ENSRNOG00000000138,Glis1,89.41166287,1.447499135,0.186721363,7.752188128,9.03E-15,4.21E-14
ENSRNOG00000000142,Plxdc2,1213.36888,0.164234663,0.083104375,1.976245682,0.048126958,0.080407343
ENSRNOG00000000145,Pik3r3,308.3759336,-0.087670653,0.13869486,-0.632111764,0.527313848,0.623201538
ENSRNOG00000000150,Dnajc1,2427.95948,0.044001555,0.040860347,1.076876685,0.28153536,0.375497323
ENSRNOG00000000151,Ldlrap1,398.6761544,0.547893962,0.096822809,5.658728198,1.52E-08,5.09E-08
ENSRNOG00000000155,Cog3,1041.846048,-0.040021274,0.085756206,-0.466686619,0.640724105,0.723700718
ENSRNOG00000000156,Megf6,16.87393965,-3.879861037,0.782639396,-4.957405741,7.14E-07,2.12E-06
ENSRNOG00000000157,Atg12,1534.887338,0.347922478,0.052354808,6.645473305,3.02E-11,1.18E-10
ENSRNOG00000000158,Cdo1,399.0690348,4.716544411,0.112229656,42.02582958,0,0
ENSRNOG00000000161,Chm,883.6252337,0.124310285,0.103410126,1.202109405,0.229321143,0.31664018
ENSRNOG00000000164,Lamp2,7144.498677,1.726893538,0.034264688,50.39863616,0,0
ENSRNOG00000000165,Pfkfb1,96.96022145,-1.567152164,0.178557489,-8.776737238,1.68E-18,9.20E-18
ENSRNOG00000000166,Apex2,234.7132219,-0.126251871,0.11652703,-1.083455663,0.27860622,0.3720811
ENSRNOG00000000167,Alas2,0.969700632,-2.013777476,1.792376949,-1.123523418,0.26121526,0.352588395
ENSRNOG00000000168,Gatm,950.7189046,-1.066454937,0.069888026,-15.25948002,1.42E-52,1.82E-51
ENSRNOG00000000169,Spata5l1,262.7011751,-0.805800093,0.105203344,-7.659453193,1.87E-14,8.57E-14
ENSRNOG00000000170,Slc30a4,2493.981211,-0.075421415,0.067048752,-1.124874249,0.260642326,0.352092381
ENSRNOG00000000172,Sqor,1645.577881,3.347972787,0.058883793,56.85728807,0,0
ENSRNOG00000000175,Mier2,587.252872,-0.50462736,0.071337168,-7.073835096,1.51E-12,6.31E-12
ENSRNOG00000000177,Plpp2,519.3014311,-0.336074179,0.109012256,-3.082902703,0.002049922,0.004323234
ENSRNOG00000000184,Tmprss6,36.36289352,0.814288866,0.319219104,2.550877613,0.010745205,0.020311494
ENSRNOG00000000185,Mpst,657.2227102,0.778447295,0.087433222,8.903335364,5.42E-19,3.01E-18
ENSRNOG00000000186,Tst,71.92238745,0.834209539,0.194280126,4.293849071,1.76E-05,4.63E-05
ENSRNOG00000000190,Ep300,678.741742,0.036273976,0.314537934,0.115324646,0.908187804,0.936123266
ENSRNOG00000000195,Vwa5a,2634.686339,0.216886006,0.05046434,4.297807272,1.72E-05,4.55E-05
ENSRNOG00000000196,Cyp19a1,18.00411961,0.352876845,0.473402624,0.745405343,0.456026715,0.556056412
ENSRNOG00000000199,Dppa5,1.73078118,0.463273119,1.119942424,0.413657979,0.679124606,0.756609458
ENSRNOG00000000201,Gsta5,57.82688652,-5.905053043,0.738806808,-7.992688996,1.32E-15,6.42E-15
ENSRNOG00000000204,Syncrip,7308.581358,-0.452087159,0.060493607,-7.473304765,7.82E-14,3.48E-13
ENSRNOG00000000219,Ano10,2283.916457,0.78362138,0.042546198,18.41812958,9.40E-76,1.70E-74
ENSRNOG00000000221,Abhd5,1517.233776,0.604846711,0.051221341,11.8084904,3.53E-32,2.90E-31
ENSRNOG00000000230,Lmf1,644.3016373,0.38611895,0.080144667,4.817774709,1.45E-06,4.19E-06
ENSRNOG00000000231,Kctd17,1268.61992,0.240958468,0.058882993,4.092157269,4.27E-05,0.000108504
ENSRNOG00000000233,Grm6,1.080453912,-0.570862946,1.765481343,-0.323346915,0.746432527,0.810426444
ENSRNOG00000000236,Zfp207,3761.353808,-0.062071217,0.042961537,-1.44480905,0.148511528,0.218973641
ENSRNOG00000000237,RGD1310429,272.1519742,0.115710606,0.112100313,1.032205916,0.301975664,0.398119407
