ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000001,Arsj,544.3846219,0.317989224,0.071260761,4.462332727,8.11E-06,2.62E-05
ENSRNOG00000000007,Gad1,2.7263854,0.707371144,1.037877456,0.681555554,0.495520027,0.604824375
ENSRNOG00000000008,Alx4,0.46842069,2.8665646,3.919459,0.731367416,0.464554762,
ENSRNOG00000000009,Tmco5b,0.494982762,0.630021725,2.927391136,0.215216107,0.829598833,
ENSRNOG00000000010,Cbln1,0.114894613,-1.293551015,5.267904354,-0.245553246,0.806028085,
ENSRNOG00000000012,Tcf15,0.274722856,-2.732893935,5.203747826,-0.525178011,0.599459449,
ENSRNOG00000000017,Steap1,1047.884688,0.43196559,0.08265925,5.225859032,1.73E-07,6.58E-07
ENSRNOG00000000021,AABR07061902.1,563.6895687,0.128702156,0.080433464,1.60010709,0.109574828,0.177588559
ENSRNOG00000000024,Hebp1,1417.580316,0.372547538,0.091846035,4.056217987,4.99E-05,0.000148805
ENSRNOG00000000033,Tmcc2,422.2908756,-0.520112177,0.082478852,-6.306006482,2.86E-10,1.36E-09
ENSRNOG00000000034,Nuak2,1539.737042,-1.287083799,0.058550212,-21.98256436,4.23E-107,1.93E-105
ENSRNOG00000000035,Tmed11,0.380386916,-3.148513385,4.120477948,-0.764113635,0.444799527,
ENSRNOG00000000036,Klhdc8a,549.5366183,0.126970758,0.065956278,1.925074621,0.054220024,0.096039784
ENSRNOG00000000040,RGD1304622,763.4952119,-0.270677235,0.079988448,-3.383954096,0.000714499,0.001837891
ENSRNOG00000000041,Slc26a1,77.72764126,-0.111641071,0.205254814,-0.543914505,0.586500307,0.68663644
ENSRNOG00000000042,Xpr1,719.556346,0.046414679,0.135353818,0.3429137,0.731663385,0.809354705
ENSRNOG00000000043,Idua,1159.243891,0.185716928,0.092827263,2.000672235,0.045427723,0.082308037
ENSRNOG00000000044,Tmem175,985.6199197,-0.173071801,0.052731533,-3.282131014,0.001030257,0.002582205
ENSRNOG00000000047,Cd82,6861.967565,-0.11562158,0.051169425,-2.259583336,0.023847123,0.046496519
ENSRNOG00000000048,Gak,3053.39104,-0.218439802,0.057907319,-3.772231286,0.000161794,0.000455349
ENSRNOG00000000053,Crp,0.615787757,1.483182123,2.585454185,0.573664052,0.566195159,
ENSRNOG00000000054,Abhd8,794.8482736,0.507873642,0.068727482,7.389673405,1.47E-13,8.71E-13
ENSRNOG00000000055,Fcrl6,0.229307182,0,4.729146952,0,1,
ENSRNOG00000000060,unkown,8.302677352,-1.488934899,0.622510895,-2.391821431,0.016764997,0.033779722
ENSRNOG00000000062,Pcgf3,1386.568209,-0.492189324,0.096100782,-5.121595425,3.03E-07,1.13E-06
ENSRNOG00000000064,Atp5me,1625.157663,0.280207181,0.139320596,2.011240186,0.044300093,0.080576931
ENSRNOG00000000065,Pde6b,11.19010613,-0.166818556,0.508298045,-0.328190433,0.742767681,0.818500485
ENSRNOG00000000066,Fbxo28,908.6279465,0.10923338,0.069601319,1.569415382,0.116551182,0.187108685
ENSRNOG00000000068,Ppp2r5a,1640.418595,-0.227193784,0.054914143,-4.137254471,3.51E-05,0.000106709
ENSRNOG00000000070,Dr1,2004.91309,-0.109921904,0.050730648,-2.166775072,0.030252009,0.057533313
ENSRNOG00000000073,Tmed5,443.1323095,0.537632048,0.0927229,5.798266113,6.70E-09,2.87E-08
ENSRNOG00000000075,Mtf2,563.8894429,0.321581493,0.082067552,3.918497458,8.91E-05,0.000259064
ENSRNOG00000000081,Antxr2,1018.554076,0.731409716,0.101939085,7.174968414,7.23E-13,4.12E-12
ENSRNOG00000000082,Hltf,893.970603,0.132030165,0.084054649,1.570765757,0.116237069,0.186673649
ENSRNOG00000000091,Smad9,492.2513043,1.764481151,0.102208619,17.26352593,8.85E-67,2.31E-65
ENSRNOG00000000095,Gpr89b,1332.497354,-0.171282234,0.056023008,-3.057355198,0.002232995,0.00532169
ENSRNOG00000000096,Pdzk1,263.4788303,-0.025653744,0.111991967,-0.229067711,0.818816289,0.875879478
ENSRNOG00000000097,unkown,2.381570564,0.104966872,1.292961836,0.081183271,0.935296203,0.958313174
ENSRNOG00000000098,Rnf115,2355.871677,-0.026266638,0.045142472,-0.581860864,0.560660404,0.664564813
ENSRNOG00000000104,Thoc3,1080.095491,0.584725684,0.057498977,10.1693233,2.72E-24,2.59E-23
ENSRNOG00000000105,Cplx2,829.8981245,-0.000188823,0.110160641,-0.001714065,0.998632374,1
ENSRNOG00000000108,Aga,1722.882548,0.350133674,0.063131775,5.5460768,2.92E-08,1.18E-07
ENSRNOG00000000111,Coprs,236.6882795,0.461397602,0.113122173,4.078754763,4.53E-05,0.000135793
ENSRNOG00000000112,Champ1,1325.468382,-0.00955697,0.061592526,-0.155164445,0.876691678,0.91648871
ENSRNOG00000000113,Elac1,252.4544469,-0.504124476,0.10856777,-4.643408209,3.43E-06,1.15E-05
ENSRNOG00000000121,Pigv,366.1655026,-0.083536714,0.086394821,-0.966918069,0.333584993,0.446206008
ENSRNOG00000000122,Ak2,2170.216196,0.139423279,0.051412745,2.711842714,0.006691033,0.01468296
ENSRNOG00000000123,Rnf19b,1593.954506,-0.306476054,0.051837607,-5.912233878,3.37E-09,1.48E-08
ENSRNOG00000000127,Kpna6,2550.263249,0.044046528,0.058859424,0.748334331,0.454258522,0.567380756
ENSRNOG00000000129,Phf24,176.5925116,-0.353610563,0.131254015,-2.694093305,0.00705804,0.015383045
ENSRNOG00000000130,Dnajb5,1051.534882,-0.650281768,0.058235174,-11.16647756,5.95E-29,6.68E-28
ENSRNOG00000000133,Txndc15,1350.909925,0.151134581,0.065359371,2.312362851,0.020757696,0.0409105
ENSRNOG00000000137,Ly86,0.280219935,2.104255758,4.421718116,0.475890978,0.63415205,
ENSRNOG00000000138,Glis1,89.41166287,-0.150077002,0.205929055,-0.728780123,0.466136172,0.57832607
ENSRNOG00000000142,Plxdc2,1213.36888,-2.205542293,0.087994698,-25.06449071,1.21E-138,8.68E-137
ENSRNOG00000000145,Pik3r3,308.3759336,-0.488726654,0.136737402,-3.574198765,0.000351302,0.000941434
ENSRNOG00000000150,Dnajc1,2427.95948,-0.61551913,0.039842776,-15.44870083,7.70E-54,1.60E-52
ENSRNOG00000000151,Ldlrap1,398.6761544,-0.415573074,0.096763696,-4.294720975,1.75E-05,5.48E-05
ENSRNOG00000000155,Cog3,1041.846048,-0.298058057,0.08479604,-3.514999733,0.000439754,0.00116474
ENSRNOG00000000156,Megf6,16.87393965,-2.063743758,0.743575543,-2.77543254,0.005512833,0.01226223
ENSRNOG00000000157,Atg12,1534.887338,0.191189656,0.053061284,3.603185653,0.000314341,0.000848534
ENSRNOG00000000158,Cdo1,399.0690348,0.341230181,0.15702122,2.173146923,0.029769261,0.056708657
ENSRNOG00000000161,Chm,883.6252337,-0.164354981,0.103700917,-1.584894191,0.112990377,0.182331968
ENSRNOG00000000164,Lamp2,7144.498677,-0.163202783,0.035412838,-4.60857678,4.05E-06,1.35E-05
ENSRNOG00000000165,Pfkfb1,96.96022145,0.808917382,0.158515283,5.103087643,3.34E-07,1.24E-06
ENSRNOG00000000166,Apex2,234.7132219,0.22211036,0.115058195,1.930417568,0.05355512,0.095005466
ENSRNOG00000000167,Alas2,0.969700632,-1.772130601,1.872341592,-0.946478254,0.343904709,
ENSRNOG00000000168,Gatm,950.7189046,0.792031622,0.068544489,11.55500077,6.96E-31,8.24E-30
ENSRNOG00000000169,Spata5l1,262.7011751,0.763162535,0.101834554,7.494141266,6.67E-14,4.02E-13
ENSRNOG00000000170,Slc30a4,2493.981211,-0.06882503,0.066308598,-1.0379503,0.299293194,0.408839415
ENSRNOG00000000172,Sqor,1645.577881,-0.772099,0.064928602,-11.89150811,1.31E-32,1.64E-31
ENSRNOG00000000175,Mier2,587.252872,0.250908811,0.067845189,3.698255021,0.000217087,0.000599177
