ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000001,Arsj,544.3846219,0.08853294,0.07449546,1.188434034,0.234662454,0.375585512
ENSRNOG00000000007,Gad1,2.7263854,0.014613013,1.092810221,0.013371959,0.989331039,0.995054149
ENSRNOG00000000008,Alx4,0.46842069,-1.703195987,3.996202276,-0.426203648,0.66995946,
ENSRNOG00000000009,Tmco5b,0.494982762,-1.688822103,2.865493757,-0.589365131,0.555616362,
ENSRNOG00000000010,Cbln1,0.114894613,1.147146475,5.267904354,0.217761447,0.827614984,
ENSRNOG00000000012,Tcf15,0.274722856,2.586489396,5.203747826,0.49704357,0.619158327,
ENSRNOG00000000017,Steap1,1047.884688,-0.039335411,0.08411441,-0.467641766,0.640040792,0.759465838
ENSRNOG00000000021,AABR07061902.1,563.6895687,-0.19193178,0.080775579,-2.376111476,0.017496176,0.044472194
ENSRNOG00000000024,Hebp1,1417.580316,0.041862971,0.09269804,0.451605783,0.651553003,0.768368743
ENSRNOG00000000033,Tmcc2,422.2908756,0.446746639,0.082967113,5.384623174,7.26E-08,4.55E-07
ENSRNOG00000000034,Nuak2,1539.737042,1.003412179,0.05811083,17.26721478,8.31E-67,5.39E-65
ENSRNOG00000000035,Tmed11,0.380386916,2.040319999,4.120477948,0.495165858,0.620483049,
ENSRNOG00000000036,Klhdc8a,549.5366183,-0.049952344,0.066975437,-0.745830798,0.455769633,0.606769408
ENSRNOG00000000040,RGD1304622,763.4952119,0.076356512,0.079834058,0.956440316,0.338849824,0.492561824
ENSRNOG00000000041,Slc26a1,77.72764126,-0.014126388,0.205495222,-0.068743147,0.945194073,0.967921431
ENSRNOG00000000042,Xpr1,719.556346,0.021307728,0.135799158,0.156906185,0.875318786,0.92431603
ENSRNOG00000000043,Idua,1159.243891,-0.228055885,0.093035952,-2.451266202,0.014235463,0.037187281
ENSRNOG00000000044,Tmem175,985.6199197,0.121051002,0.053130564,2.278368469,0.022704633,0.055615634
ENSRNOG00000000047,Cd82,6861.967565,0.421281657,0.051450151,8.188151949,2.65E-16,3.36E-15
ENSRNOG00000000048,Gak,3053.39104,0.201347848,0.058062949,3.467750949,0.000524833,0.001901056
ENSRNOG00000000053,Crp,0.615787757,-2.277490602,2.509261343,-0.907633877,0.36407169,
ENSRNOG00000000054,Abhd8,794.8482736,-0.205510645,0.070153065,-2.929460685,0.003395508,0.010379778
ENSRNOG00000000055,Fcrl6,0.229307182,-1.692557553,4.690809478,-0.360824195,0.718230875,
ENSRNOG00000000060,unkown,8.302677352,0.468709326,0.572474048,0.818743361,0.412932852,0.566049951
ENSRNOG00000000062,Pcgf3,1386.568209,0.239081044,0.095916597,2.492593067,0.012681409,0.033632956
ENSRNOG00000000064,Atp5me,1625.157663,0.030272447,0.139742943,0.216629522,0.828497076,0.894824837
ENSRNOG00000000065,Pde6b,11.19010613,0.198390598,0.515454372,0.384884888,0.700322702,0.804994649
ENSRNOG00000000066,Fbxo28,908.6279465,-0.114406267,0.070064881,-1.632861774,0.102498071,0.1966587
ENSRNOG00000000068,Ppp2r5a,1640.418595,0.077282127,0.054904003,1.407586382,0.159253582,0.278784686
ENSRNOG00000000070,Dr1,2004.91309,0.138491551,0.051102515,2.710073125,0.006726838,0.019121543
ENSRNOG00000000073,Tmed5,443.1323095,-0.229304432,0.094740378,-2.420345321,0.015505774,0.040071236
ENSRNOG00000000075,Mtf2,563.8894429,-0.385734822,0.082378733,-4.682456361,2.83E-06,1.47E-05
ENSRNOG00000000081,Antxr2,1018.554076,-0.370302935,0.102803299,-3.602053031,0.000315714,0.001191028
ENSRNOG00000000082,Hltf,893.970603,-0.072112062,0.084573123,-0.852659325,0.393848253,0.546282654
ENSRNOG00000000091,Smad9,492.2513043,-1.049253207,0.105138372,-9.979736122,1.87E-23,3.48E-22
ENSRNOG00000000095,Gpr89b,1332.497354,0.15835788,0.056419959,2.80677054,0.005004087,0.014687423
ENSRNOG00000000096,Pdzk1,263.4788303,-0.088265528,0.112217403,-0.786558287,0.431540486,0.584431887
ENSRNOG00000000097,unkown,2.381570564,-0.836723223,1.224347254,-0.68340352,0.494351896,0.641939064
ENSRNOG00000000098,Rnf115,2355.871677,0.084295851,0.04554731,1.850731707,0.06420816,0.134118234
ENSRNOG00000000104,Thoc3,1080.095491,-0.418623634,0.058311528,-7.179088763,7.02E-13,7.10E-12
ENSRNOG00000000105,Cplx2,829.8981245,-0.079058129,0.110285519,-0.716849591,0.473466909,0.623342656
ENSRNOG00000000108,Aga,1722.882548,-0.097214054,0.063889527,-1.52159608,0.12811032,0.234871843
ENSRNOG00000000111,Coprs,236.6882795,-0.217466303,0.115599,-1.881212665,0.059942996,0.126917998
ENSRNOG00000000112,Champ1,1325.468382,0.023853067,0.061984137,0.38482534,0.700366824,0.804994649
ENSRNOG00000000113,Elac1,252.4544469,0.240270805,0.107513103,2.234804864,0.025430162,0.061452886
ENSRNOG00000000121,Pigv,366.1655026,0.115717438,0.087541867,1.321852534,0.186217261,0.315221731
ENSRNOG00000000122,Ak2,2170.216196,-0.234281914,0.051499197,-4.549234298,5.38E-06,2.70E-05
ENSRNOG00000000123,Rnf19b,1593.954506,0.107712663,0.051700217,2.083408348,0.037214018,0.085042603
ENSRNOG00000000127,Kpna6,2550.263249,-0.065723257,0.05901947,-1.113586024,0.265456825,0.41384435
ENSRNOG00000000129,Phf24,176.5925116,0.094342068,0.130323648,0.723905984,0.469123456,0.619171004
ENSRNOG00000000130,Dnajb5,1051.534882,0.296560002,0.057405647,5.166042321,2.39E-07,1.41E-06
ENSRNOG00000000133,Txndc15,1350.909925,0.026962179,0.066130973,0.407708793,0.683487481,0.793270688
