ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000001,Arsj,544.3846219,0.269417978,0.072672572,3.707285552,0.000209493,0.000759479
ENSRNOG00000000007,Gad1,2.7263854,1.750651672,1.217940702,1.437386622,0.150608168,0.258603823
ENSRNOG00000000008,Alx4,0.46842069,2.637227015,3.919459,0.672854854,0.501039636,
ENSRNOG00000000009,Tmco5b,0.494982762,0.400683248,2.927391136,0.136873834,0.891130522,
ENSRNOG00000000010,Cbln1,0.114894613,0,5.267904354,0,1,
ENSRNOG00000000012,Tcf15,0.274722856,0,5.267904354,0,1,
ENSRNOG00000000017,Steap1,1047.884688,0.234730078,0.082841151,2.833496092,0.004604187,0.012786039
ENSRNOG00000000021,AABR07061902.1,563.6895687,0.192041904,0.082237012,2.335224731,0.019531684,0.046388093
ENSRNOG00000000024,Hebp1,1417.580316,0.253531559,0.09213115,2.751854915,0.005925877,0.016064237
ENSRNOG00000000033,Tmcc2,422.2908756,-0.262736746,0.085733138,-3.064588016,0.0021797,0.006489081
ENSRNOG00000000034,Nuak2,1539.737042,-1.118403431,0.059369865,-18.83789762,3.69E-79,2.91E-77
ENSRNOG00000000035,Tmed11,0.380386916,0,4.222481427,0,1,
ENSRNOG00000000036,Klhdc8a,549.5366183,-0.033880313,0.066363283,-0.510527975,0.609681621,0.732493966
ENSRNOG00000000040,RGD1304622,763.4952119,-0.121816263,0.081482117,-1.495006117,0.134912846,0.236764323
ENSRNOG00000000041,Slc26a1,77.72764126,0.08245918,0.211963448,0.389025467,0.697257307,0.801093023
ENSRNOG00000000042,Xpr1,719.556346,0.061506288,0.136097398,0.451928462,0.65132052,0.765258504
ENSRNOG00000000043,Idua,1159.243891,-0.175087433,0.092530372,-1.892215808,0.058462233,0.119421865
ENSRNOG00000000044,Tmem175,985.6199197,-0.205882539,0.053675993,-3.835654049,0.000125231,0.000474503
ENSRNOG00000000047,Cd82,6861.967565,0.058193898,0.051477837,1.130465113,0.258280291,0.396170724
ENSRNOG00000000048,Gak,3053.39104,-0.042801903,0.058528059,-0.731305704,0.464592447,0.607344518
ENSRNOG00000000053,Crp,0.615787757,-1.557214616,2.417064667,-0.644258566,0.519407779,
ENSRNOG00000000054,Abhd8,794.8482736,0.468164102,0.069740347,6.712959159,1.91E-11,1.54E-10
ENSRNOG00000000055,Fcrl6,0.229307182,0,4.729146952,0,1,
