ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000001,Arsj,544.3846219,0.406522164,0.070538887,5.763092998,8.26E-09,9.66E-08
ENSRNOG00000000007,Gad1,2.7263854,0.721984157,1.022071318,0.70639313,0.479943692,
ENSRNOG00000000008,Alx4,0.46842069,1.163368614,3.872139058,0.30044598,0.763836996,
ENSRNOG00000000009,Tmco5b,0.494982762,-1.058800378,2.865493757,-0.369500152,0.71175496,
ENSRNOG00000000010,Cbln1,0.114894613,0,5.267904354,0,1,
ENSRNOG00000000012,Tcf15,0.274722856,0,5.267904354,0,1,
ENSRNOG00000000017,Steap1,1047.884688,0.392630179,0.081854395,4.796690254,1.61E-06,1.34E-05
ENSRNOG00000000021,AABR07061902.1,563.6895687,-0.063229624,0.078566381,-0.804792362,0.42093951,0.574412486
ENSRNOG00000000024,Hebp1,1417.580316,0.414410509,0.09156205,4.526007315,6.01E-06,4.50E-05
ENSRNOG00000000033,Tmcc2,422.2908756,-0.073365538,0.084106623,-0.872292042,0.383049078,0.538615041
ENSRNOG00000000034,Nuak2,1539.737042,-0.283671621,0.060407115,-4.69599683,2.65E-06,2.13E-05
ENSRNOG00000000035,Tmed11,0.380386916,-1.108193385,4.222481427,-0.262450742,0.792973956,
ENSRNOG00000000036,Klhdc8a,549.5366183,0.077018414,0.064673439,1.190881679,0.233700038,0.379274668
ENSRNOG00000000040,RGD1304622,763.4952119,-0.194320723,0.079629104,-2.440322845,0.014674141,0.043656696
ENSRNOG00000000041,Slc26a1,77.72764126,-0.125767459,0.202660979,-0.620580535,0.53487565,0.676297591
ENSRNOG00000000042,Xpr1,719.556346,0.067722406,0.134955044,0.501814562,0.615797969,0.740186189
ENSRNOG00000000043,Idua,1159.243891,-0.042338957,0.091809223,-0.46116235,0.644682132,0.761985984
ENSRNOG00000000044,Tmem175,985.6199197,-0.0520208,0.052441908,-0.991970008,0.321212156,0.476809856
ENSRNOG00000000047,Cd82,6861.967565,0.305660077,0.051325638,5.955309872,2.60E-09,3.24E-08
ENSRNOG00000000048,Gak,3053.39104,-0.017091954,0.05792435,-0.295073725,0.767937561,0.854316085
ENSRNOG00000000053,Crp,0.615787757,-0.794308479,2.445660579,-0.324782795,0.745345467,
ENSRNOG00000000054,Abhd8,794.8482736,0.302362997,0.06702363,4.511289463,6.44E-06,4.80E-05
ENSRNOG00000000055,Fcrl6,0.229307182,-2.024326113,4.690809478,-0.431551552,0.666067377,
ENSRNOG00000000060,unkown,8.302677352,-1.020225572,0.632691781,-1.612515926,0.106849717,0.212481588
ENSRNOG00000000062,Pcgf3,1386.568209,-0.25310828,0.096183097,-2.631525563,0.008500247,0.027758173
ENSRNOG00000000064,Atp5me,1625.157663,0.310479628,0.139139518,2.23142664,0.025652882,0.06925564
ENSRNOG00000000065,Pde6b,11.19010613,0.031572043,0.508849507,0.062045933,0.950526253,0.972587788
ENSRNOG00000000066,Fbxo28,908.6279465,-0.005172887,0.068430119,-0.075593714,0.939742338,0.966140294
ENSRNOG00000000068,Ppp2r5a,1640.418595,-0.149911657,0.054639056,-2.74367218,0.006075618,0.02086334
ENSRNOG00000000070,Dr1,2004.91309,0.028569648,0.050618476,0.564411461,0.57247414,0.707169196
ENSRNOG00000000073,Tmed5,443.1323095,0.308327616,0.090168015,3.419478799,0.000627412,0.002965636
ENSRNOG00000000075,Mtf2,563.8894429,-0.064153329,0.079262904,-0.809373948,0.418300083,0.572162246
ENSRNOG00000000081,Antxr2,1018.554076,0.361106781,0.10054516,3.591488461,0.000328795,0.001674512
ENSRNOG00000000082,Hltf,893.970603,0.059918103,0.083279105,0.719485439,0.471841871,0.620722461
ENSRNOG00000000091,Smad9,492.2513043,0.715227944,0.092829452,7.70475244,1.31E-14,2.76E-13
ENSRNOG00000000095,Gpr89b,1332.497354,-0.012924354,0.055933715,-0.23106554,0.817263886,0.888910871
ENSRNOG00000000096,Pdzk1,263.4788303,-0.113919272,0.109827353,-1.03725774,0.299615755,0.454312809
ENSRNOG00000000097,unkown,2.381570564,-0.731756351,1.147319896,-0.637796271,0.523606307,
ENSRNOG00000000098,Rnf115,2355.871677,0.058029213,0.044914553,1.291991339,0.196360144,0.334589621
ENSRNOG00000000104,Thoc3,1080.095491,0.16610205,0.055264223,3.00559823,0.00265059,0.010319079
ENSRNOG00000000105,Cplx2,829.8981245,-0.079246952,0.109591159,-0.723114463,0.469609565,0.618959793
ENSRNOG00000000108,Aga,1722.882548,0.25291962,0.062439666,4.050624185,5.11E-05,0.000316438
ENSRNOG00000000111,Coprs,236.6882795,0.2439313,0.109659958,2.224433638,0.026119283,0.070343462
ENSRNOG00000000112,Champ1,1325.468382,0.014296097,0.061142825,0.233814787,0.815128769,0.887785531
ENSRNOG00000000113,Elac1,252.4544469,-0.26385367,0.109026264,-2.420092748,0.015516549,0.045768068
ENSRNOG00000000121,Pigv,366.1655026,0.032180724,0.085900852,0.374626372,0.707938357,0.811035254
ENSRNOG00000000122,Ak2,2170.216196,-0.094858634,0.050555451,-1.876328536,0.060610181,0.137166223
ENSRNOG00000000123,Rnf19b,1593.954506,-0.198763391,0.051630631,-3.849718418,0.000118254,0.000674655
ENSRNOG00000000127,Kpna6,2550.263249,-0.02167673,0.058483574,-0.370646459,0.710900873,0.813107306
ENSRNOG00000000129,Phf24,176.5925116,-0.259268494,0.130505232,-1.986652108,0.046960963,0.112027704
ENSRNOG00000000130,Dnajb5,1051.534882,-0.353721766,0.058625413,-6.033591072,1.60E-09,2.07E-08
ENSRNOG00000000133,Txndc15,1350.909925,0.178096761,0.064904686,2.743973839,0.006070038,0.020853408
ENSRNOG00000000137,Ly86,0.280219935,-0.128558359,4.343947157,-0.029594826,0.976390192,
ENSRNOG00000000138,Glis1,89.41166287,-0.231085843,0.201485656,-1.146909651,0.251418963,0.399991744
ENSRNOG00000000142,Plxdc2,1213.36888,-1.62229071,0.088739505,-18.2814938,1.16E-74,2.54E-72
ENSRNOG00000000145,Pik3r3,308.3759336,-0.186786377,0.137314828,-1.360278272,0.173741882,0.305683279
ENSRNOG00000000150,Dnajc1,2427.95948,-0.154705721,0.040489469,-3.820887904,0.000132972,0.000747631
ENSRNOG00000000151,Ldlrap1,398.6761544,-0.014358918,0.098096735,-0.146375087,0.883625293,0.929952078
ENSRNOG00000000155,Cog3,1041.846048,-0.064556021,0.08491259,-0.760264418,0.447096546,0.598055702
ENSRNOG00000000156,Megf6,16.87393965,-3.470261853,0.726344015,-4.777711086,1.77E-06,1.46E-05
ENSRNOG00000000157,Atg12,1534.887338,0.088754439,0.052164622,1.701429733,0.088862322,0.184724114
ENSRNOG00000000158,Cdo1,399.0690348,-0.133180507,0.141732344,-0.939662064,0.34739093,0.504440594
ENSRNOG00000000161,Chm,883.6252337,-0.151010398,0.103261043,-1.462414026,0.143627788,0.26464213
ENSRNOG00000000164,Lamp2,7144.498677,-0.055487334,0.035314308,-1.57124225,0.11612639,0.226018978
ENSRNOG00000000165,Pfkfb1,96.96022145,-0.030346151,0.142182889,-0.213430398,0.830991272,0.896878743
ENSRNOG00000000166,Apex2,234.7132219,0.078398039,0.112162152,0.698970534,0.484570446,0.632321714
ENSRNOG00000000167,Alas2,0.969700632,-2.349846929,1.792376949,-1.311022735,0.189850083,
ENSRNOG00000000168,Gatm,950.7189046,-0.055308626,0.06492109,-0.851936191,0.394249509,0.550077673
ENSRNOG00000000169,Spata5l1,262.7011751,0.114808264,0.094462077,1.215390003,0.224217379,0.368737313
ENSRNOG00000000170,Slc30a4,2493.981211,0.117806041,0.066306814,1.776680769,0.075620778,0.163620083
ENSRNOG00000000172,Sqor,1645.577881,-0.239807549,0.066566775,-3.602511147,0.000315158,0.001613533
ENSRNOG00000000175,Mier2,587.252872,0.097514229,0.065953979,1.47851928,0.13926884,0.258978294
ENSRNOG00000000177,Plpp2,519.3014311,0.52867908,0.104854413,5.042029832,4.61E-07,4.17E-06
ENSRNOG00000000184,Tmprss6,36.36289352,-0.500735066,0.340166219,-1.47203055,0.141012628,0.261333189
ENSRNOG00000000185,Mpst,657.2227102,0.078163976,0.088555705,0.882653199,0.377423676,0.533023353
ENSRNOG00000000186,Tst,71.92238745,0.557833316,0.193609119,2.881234715,0.003961205,0.014514754
ENSRNOG00000000190,Ep300,678.741742,-0.404104276,0.314647045,-1.284309777,0.199033587,0.337983973
ENSRNOG00000000195,Vwa5a,2634.686339,0.664644328,0.049334484,13.47220587,2.28E-41,1.73E-39
ENSRNOG00000000196,Cyp19a1,18.00411961,1.956580326,0.42856075,4.565467845,4.98E-06,3.80E-05
ENSRNOG00000000199,Dppa5,1.73078118,0.704791363,1.068183826,0.65980344,0.509379975,
ENSRNOG00000000201,Gsta5,57.82688652,0.728734664,0.172266585,4.230272877,2.33E-05,0.000155518
ENSRNOG00000000204,Syncrip,7308.581358,0.111169931,0.060037079,1.851687882,0.064070655,0.143532327
ENSRNOG00000000219,Ano10,2283.916457,-0.031873324,0.043508454,-0.732577717,0.463816026,0.613806677
ENSRNOG00000000221,Abhd5,1517.233776,0.12261692,0.051581346,2.377156287,0.017446694,0.050351088
ENSRNOG00000000230,Lmf1,644.3016373,0.131469509,0.079824141,1.646989352,0.099560235,0.201746634
ENSRNOG00000000231,Kctd17,1268.61992,0.047619954,0.058441516,0.814830924,0.415169097,0.569385246
ENSRNOG00000000233,Grm6,1.080453912,-1.476933059,1.860701237,-0.79375078,0.427340531,
ENSRNOG00000000236,Zfp207,3761.353808,0.137719187,0.042238692,3.260498396,0.001112166,0.004889119
ENSRNOG00000000237,RGD1310429,272.1519742,-0.140644837,0.111537536,-1.260964178,0.207321754,0.347845062
ENSRNOG00000000239,Ccl7,65.31919826,1.221490749,0.22946544,5.323201378,1.02E-07,1.04E-06
ENSRNOG00000000244,Coil,288.5164584,-0.176553228,0.084027927,-2.101125591,0.035629943,0.090226086
ENSRNOG00000000245,Slc16a6,24.30529443,-0.358144755,0.289940839,-1.235233903,0.216743465,0.359647678
ENSRNOG00000000246,Amz2,1389.659945,0.079678211,0.048696519,1.636219848,0.101793584,0.205253747
ENSRNOG00000000247,Mfsd11,1069.525041,0.215018196,0.063381422,3.392448284,0.00069271,0.003236819
ENSRNOG00000000248,Srsf2,8420.459515,0.277483,0.050998071,5.441048941,5.30E-08,5.58E-07
ENSRNOG00000000249,Mettl23,148.3490653,-0.021525244,0.172060188,-0.125102991,0.900442015,0.940440113
ENSRNOG00000000250,Jmjd6,661.5997819,0.000197358,0.072260124,0.002731212,0.997820811,0.999159766
ENSRNOG00000000251,St6galnac1,3.74062705,1.555170133,1.017072587,1.529065037,0.126248322,
ENSRNOG00000000257,Smpd3,51.53694832,0.344104748,0.259173252,1.327701627,0.184276696,0.319687621
ENSRNOG00000000258,Prmt7,906.4289476,0.101941241,0.056028936,1.819439176,0.068844454,0.151945419
ENSRNOG00000000262,Zfp821,454.5161121,-0.006931424,0.078889944,-0.087861948,0.929986401,0.95996086
ENSRNOG00000000264,Def8,685.8291684,-0.032967903,0.061294747,-0.537858541,0.590674713,0.722251217
ENSRNOG00000000274,Phyhipl,13.59796515,0.624330236,0.493921983,1.264026016,0.206220689,0.346447186
ENSRNOG00000000275,Fam13c,236.9952331,-0.647310286,0.13867737,-4.667742748,3.05E-06,2.42E-05
ENSRNOG00000000277,Tet1,97.19682854,-0.278754487,0.188164702,-1.481438783,0.138489687,0.257869325
ENSRNOG00000000279,Rtn4ip1,465.1566624,0.263730316,0.091687361,2.87640863,0.004022286,0.014721188
ENSRNOG00000000281,Prodh1,33.80272191,-0.235970352,0.559665726,-0.421627307,0.673297072,0.784469418
ENSRNOG00000000283,Ess2,572.2607535,-0.077610898,0.071072775,-1.091991941,0.274836644,0.427646148
ENSRNOG00000000288,Scarf2,6510.433943,-0.07061795,0.052476189,-1.34571415,0.178394721,0.312135448
ENSRNOG00000000299,Foxo3,937.7740146,-0.270061101,0.121903137,-2.21537449,0.026734371,0.071701342
ENSRNOG00000000302,Sesn1,764.7201501,-0.107240835,0.09075453,-1.18165821,0.237341346,0.38385232
ENSRNOG00000000303,Cep57l1,462.4038303,0.262343869,0.077560572,3.382438532,0.000718454,0.00334402
ENSRNOG00000000304,Cd164,8249.711069,0.187415862,0.03206739,5.844437675,5.08E-09,6.12E-08
ENSRNOG00000000306,Smpd2,437.6929632,-0.085861637,0.109710732,-0.782618396,0.433851236,0.586428464
ENSRNOG00000000307,Mical1,1827.157227,-0.428294859,0.059036891,-7.254698804,4.03E-13,7.41E-12
ENSRNOG00000000308,Zbtb24,303.6956914,-0.283168386,0.106824071,-2.650791921,0.00803033,0.026452977
ENSRNOG00000000312,Fig4,877.182707,0.186094783,0.063763224,2.918528463,0.003516878,0.013128436
ENSRNOG00000000314,Sec63,6712.730801,0.052340984,0.041169865,1.271342139,0.203606957,0.343133445
ENSRNOG00000000316,Sobp,46.56967194,-0.307519799,0.309372932,-0.994010036,0.320217982,0.475834783
ENSRNOG00000000320,AABR07045462.1,8.631646548,0.388530323,0.574171052,0.676680445,0.498608726,0.644225776
ENSRNOG00000000321,Cd24,4.875384154,-0.465494253,0.774212886,-0.601248392,0.547674557,0.68657952
ENSRNOG00000000322,Atg5,1260.465483,-0.046370775,0.06708771,-0.691196273,0.489442206,0.636430715
ENSRNOG00000000323,Prdm1,55.41249424,-1.572540493,0.307584544,-5.112547186,3.18E-07,2.98E-06
ENSRNOG00000000327,Hace1,1241.59973,-0.135224089,0.052704634,-2.56569639,0.010296891,0.032487345
ENSRNOG00000000335,Ermap,0.216735628,-0.146404895,4.784065264,-0.030602612,0.975586459,
ENSRNOG00000000340,Rtraf,4251.535572,0.0607671,0.070803591,0.858248843,0.390755071,0.546578078
ENSRNOG00000000341,Nid2,6530.980539,-0.443792799,0.066865257,-6.637120971,3.20E-11,4.90E-10
ENSRNOG00000000345,unkown,6.645520091,2.679293328,0.885338527,3.026292483,0.002475727,0.009743427
ENSRNOG00000000368,Grik2,0.407034951,-1.108194009,4.087077788,-0.271145808,0.786278891,
