"","ENSEMBL ID","Gene names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"13","ENSRNOG00000000036","Klhdc8a",549.5366183,-2.008582521,0.08722578,-23.0273953,2.48e-117,9.7e-116
"50","ENSRNOG00000000129","Phf24",176.5925116,-2.915210933,0.1946916,-14.97348082,1.09e-50,1.7e-49
"81","ENSRNOG00000000201","Gsta5",57.82688652,-5.221690803,0.744588999,-7.012849789,2.34e-12,1.12e-11
"103","ENSRNOG00000000274","Phyhipl",13.59796515,-2.047459618,0.576122113,-3.553863969,0.000379616,0.000949413
"128","ENSRNOG00000000345","unkown",6.645520091,-4.946036446,1.46849736,-3.368093523,0.000756899,0.001819226
"145","ENSRNOG00000000405","Vgll2",1845.010993,-3.029736728,0.08428513,-35.94627809,5.79e-283,6.42e-281
"201","ENSRNOG00000000487","Grm4",5.231589382,-2.673885519,1.026808016,-2.604075423,0.009212248,0.018659819
"251","ENSRNOG00000000563","Adamts14",1830.459675,-2.637638887,0.09370036,-28.1497199,2.42e-174,1.53e-172
"297","ENSRNOG00000000640","Egr2",412.016933,-3.312513045,0.133400889,-24.83126662,4.12e-136,1.91e-134
"311","ENSRNOG00000000693","Svop",7.622824739,-2.857030416,0.911598268,-3.134089341,0.001723884,0.003924083
"548","ENSRNOG00000001156","Msi1",26.05029234,-2.340599953,0.436037866,-5.367882322,7.97e-08,2.87e-07
"574","ENSRNOG00000001193","Hsf2bp",605.7805642,-2.43787391,0.103551222,-23.54268595,1.49e-122,6.11e-121
"590","ENSRNOG00000001217","Lrrc3",3.613208109,-4.294496559,1.45382519,-2.953929117,0.003137561,0.006864066
"641","ENSRNOG00000001295","S100b",105.7232384,-2.884996705,0.19463416,-14.82266377,1.05e-49,1.59e-48
"683","ENSRNOG00000001360","Stag3",3.467584073,-3.036063276,1.239392118,-2.449639005,0.01429995,0.02790855
"692","ENSRNOG00000001379","Cyp3a62",10.40907905,-2.191564294,0.72620913,-3.017814298,0.002546049,0.005652865
"767","ENSRNOG00000001514","Cdca7",416.7872988,-2.282092196,0.124393381,-18.3457687,3.57e-75,8.36e-74
"830","ENSRNOG00000001652","Erg",15.75446774,-4.984560985,1.072391188,-4.648080886,3.35e-06,1.05e-05
"849","ENSRNOG00000001704","Runx1",1858.21405,-2.147937897,0.084647521,-25.3750834,4.75e-142,2.28e-140
"864","ENSRNOG00000001726","Tmem44",26.46060206,-2.111249551,0.44463298,-4.74829724,2.05e-06,6.52e-06
"970","ENSRNOG00000001923","unkown",25.0160423,-2.010073929,0.445971456,-4.507180679,6.57e-06,1.99e-05
"982","ENSRNOG00000001963","Mx2",21.18160535,-3.580888208,0.707016936,-5.064784205,4.09e-07,1.39e-06
"1037","ENSRNOG00000002092","Hunk",4.335062523,-3.299447206,1.339920821,-2.462419536,0.013800313,0.027028467
"1056","ENSRNOG00000002127","unkown",2.091685352,-3.617188121,1.634537686,-2.212973217,0.026899492,0.049439195
"1064","ENSRNOG00000002142","Cds1",30.00337107,-2.177802093,0.405634865,-5.36887304,7.92e-08,2.86e-07
"1066","ENSRNOG00000002145","Tmprss7",2.548525611,-3.564187575,1.432744142,-2.487665083,0.012858476,0.025343126
"1102","ENSRNOG00000002204","Ccdc158",1.36590214,-4.08745889,1.812513359,-2.255133111,0.024124975,0.044766799
"1119","ENSRNOG00000002238","Sema5b",10.50202352,-2.672320848,1.005182381,-2.658543264,0.007847927,0.016100125
"1167","ENSRNOG00000002339","Mark1",20.87775708,-3.022931743,0.623096116,-4.851469405,1.23e-06,3.99e-06
"1174","ENSRNOG00000002349","Gabra2",348.5121549,-3.005571959,0.201267891,-14.93319149,2e-50,3.1e-49
