"","V1","Gene names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"24","ENSRNOG00000023549","unkown",209.7373384,-4.669670879,0.284431318,-16.41756934,1.43e-60,2.82e-59
"239","ENSRNOG00000019358","Frk",4.125587965,-2.660273389,1.047686919,-2.539187368,0.01111103,0.02339766
"280","ENSRNOG00000030210","Hs3st5",18.17645165,-3.245900239,0.630130089,-5.151158934,2.59e-07,9.84e-07
"329","ENSRNOG00000022921","RT1-M3-1",9.487275328,-3.663226062,1.36187075,-2.689848551,0.007148445,0.015626016
"339","ENSRNOG00000059984","Rpp21",6.036908802,-2.751663717,0.878628217,-3.131772532,0.001737544,0.004259694
"454","ENSRNOG00000047013","Arpc1b",10.44552732,-5.697023778,1.240710385,-4.591743446,4.4e-06,1.49e-05
"518","ENSRNOG00000058906","Sdk1",8.564036225,-3.955498404,1.065108616,-3.713704258,0.000204247,0.00057507
"519","ENSRNOG00000018217","Foxk1",107.6101402,-2.191545496,0.206271511,-10.62456702,2.29e-26,2.17e-25
"671","ENSRNOG00000019440","unkown",7596.047406,-2.128690145,0.048476462,-43.91182936,0,0
"677","ENSRNOG00000050032","Naa25",7.341004127,-3.419188727,1.041276671,-3.283650563,0.001024719,0.002608857
"724","ENSRNOG00000020743","Rasa4",63.30523138,-2.651105823,0.251544911,-10.5392942,5.69e-26,5.34e-25
"773","ENSRNOG00000054614","Dlx1",1267.00423,-2.058824543,0.080348212,-25.62377553,8.29e-145,4.24e-143
"955","ENSRNOG00000011451","Klhl22",32.96920873,-2.553502602,0.410377786,-6.222321705,4.9e-10,2.28e-09
"1009","ENSRNOG00000037339","Paqr3",773.1309217,-2.654400723,0.093078586,-28.51784525,7.04e-179,4.77e-177
"1045","ENSRNOG00000019207","Usp46",87.81310032,-2.120569115,0.234015306,-9.061668465,1.28e-19,9.74e-19
"1060","ENSRNOG00000020014","Sgcb",16.04596803,-2.041988733,0.528899167,-3.860828041,0.000113003,0.000327796
"1097","ENSRNOG00000025378","Ociad2",9.915335299,-2.279903704,0.662558398,-3.441060761,0.000579438,0.001531962
"1157","ENSRNOG00000055401","Tsn",5.461480595,-2.363276886,0.837984646,-2.820191156,0.004799505,0.01087247
"1187","ENSRNOG00000016717","Bpnt1",28.14178927,-3.132818991,0.498418941,-6.285513515,3.27e-10,1.54e-09
"1245","ENSRNOG00000012698","Flt4",7104.550619,-2.192062108,0.040089014,-54.67987149,0,0
"1263","ENSRNOG00000010775","Tnn",101.726511,-2.380918196,0.199814644,-11.91563417,9.81e-33,1.11e-31
"1285","ENSRNOG00000012031","Hsd17b6",29.0548763,-3.594712522,0.535523059,-6.71252612,1.91e-11,9.74e-11
"1371","ENSRNOG00000010840","Cxcl1",1485.988753,-3.480663652,0.110838602,-31.40299133,1.84e-216,1.55e-214
"1374","ENSRNOG00000025142","Brinp3",647.2682482,-3.204286224,0.103350964,-31.00393178,4.77e-211,3.86e-209
"1437","ENSRNOG00000011151","Adora2b",35.90643551,-2.279006098,0.316882469,-7.191960179,6.39e-13,3.53e-12
"1454","ENSRNOG00000013641","Abcc3",743.0193595,-3.424359459,0.139204688,-24.59945508,1.28e-133,6.12e-132
"1479","ENSRNOG00000017976","Timmdc1",2.166946138,-4.037418572,1.547890622,-2.60833583,0.009098364,0.019532042
"1486","ENSRNOG00000018394","Olfml2b",62.214559,-3.752539765,0.3707378,-10.12181591,4.42e-24,3.93e-23
"1507","ENSRNOG00000019270","LOC679960",289.3692546,-2.730319485,0.151882239,-17.97655545,2.97e-72,7.14e-71
"1508","ENSRNOG00000019283","Phka1",371.9679278,-2.423014445,0.111970323,-21.63979145,7.58e-104,2.61e-102
"1585","ENSRNOG00000031643","Helz",934.8439678,-3.562974042,0.146799412,-24.27103757,3.97e-130,1.82e-128
"1602","ENSRNOG00000015082","Tp53bp2",1.732851133,-3.433839087,1.536273414,-2.235174453,0.025405898,0.049372192
"1640","ENSRNOG00000017021","Cdrt4",7.380254199,-4.363114211,1.205061442,-3.620657055,0.000293856,0.000810496
"1676","ENSRNOG00000051825","Tomm40l",57.0886231,-3.079513494,0.327996308,-9.388866327,6.06e-21,4.82e-20
"1877","ENSRNOG00000022099","Rptor",30.38473389,-2.036091517,0.372420455,-5.467184981,4.57e-08,1.85e-07
"1880","ENSRNOG00000036703","Wipi1",47.96661754,-2.153643582,0.316933478,-6.795254309,1.08e-11,5.58e-11
"1881","ENSRNOG00000019851","Ap3s1",41.91856503,-3.160244531,0.416564922,-7.586439384,3.29e-14,1.96e-13
"1942","ENSRNOG00000018327","Phka2",22.73041108,-2.41306567,0.447461698,-5.392787096,6.94e-08,2.76e-07
"1982","ENSRNOG00000018927","Grip1",16.07132318,-2.166848939,0.612989475,-3.534887675,0.000407949,0.001100778
"2055","ENSRNOG00000056817","Lrp12",24.04155577,-2.69356097,0.677050621,-3.978374568,6.94e-05,0.000206222
"2063","ENSRNOG00000029394","Slc35e4",324.1586027,-2.688889014,0.151745471,-17.71973155,2.95e-70,6.82e-69
"2111","ENSRNOG00000020865","Tstd1",81.85672628,-3.624056139,0.632236537,-5.7321207,9.92e-09,4.23e-08
"2191","ENSRNOG00000020009","Tac4",180.0839936,-3.526593196,0.187038235,-18.85493193,2.68e-79,7.05e-78
"2205","ENSRNOG00000020247","Klhdc1",116.0854315,-2.607005796,0.26184316,-9.956363955,2.37e-23,2.05e-22
"2379","ENSRNOG00000026432","Slc30a1",11.65722057,-2.207461845,0.65965888,-3.346368723,0.000818774,0.00211509
"2380","ENSRNOG00000030180","Jkamp",9.060644063,-2.144871241,0.696326154,-3.080268101,0.002068143,0.005003715
"2399","ENSRNOG00000036631","Crmp1",71.57792834,-6.709362602,1.034786747,-6.483811879,8.94e-11,4.35e-10
"2409","ENSRNOG00000020953","Stac2",12.85374745,-7.017871402,1.233891277,-5.687593009,1.29e-08,5.45e-08
"2455","ENSRNOG00000013053","Crhr1",4.310128334,-4.291594866,1.421399573,-3.019274065,0.002533812,0.006023137
"2467","ENSRNOG00000050534","Ppp1r12a",100.2541527,-3.538314926,0.374712634,-9.442742526,3.63e-21,2.92e-20
"2473","ENSRNOG00000051262","Csmd3",2.073532893,-4.909457998,1.628733927,-3.014278708,0.002575911,0.006117619
"2493","ENSRNOG00000061147","Rangrf",12.19116955,-2.946922627,0.854410429,-3.449071462,0.000562518,0.001488955
"2543","ENSRNOG00000016456","Bzw2",116.448094,-3.281364783,0.217866584,-15.06134956,2.91e-51,5e-50
"2595","ENSRNOG00000021916","Sec61g",126.3414731,-3.211234929,0.227132865,-14.1381342,2.21e-45,3.39e-44
"2641","ENSRNOG00000052810","Eif2b4",11.60596193,-2.450721159,0.666791766,-3.675392056,0.000237484,0.0006622
"2693","ENSRNOG00000015727","Ngfr",1579.586159,-2.082615526,0.136338487,-15.27533107,1.12e-52,1.97e-51
"2698","ENSRNOG00000043120","Rasgrp1",17.51309527,-2.838340514,0.700858755,-4.049803894,5.13e-05,0.000154902
"2763","ENSRNOG00000019194","Ubn2",8.894380788,-3.524102019,1.12197031,-3.140994005,0.001683755,0.00413469
"2780","ENSRNOG00000020113","Med1",936.4485176,-2.12877652,0.10512999,-20.24899387,3.63e-91,1.1e-89
"2782","ENSRNOG00000020248","Neurod1",17.12507124,-2.494234334,0.499095323,-4.997510935,5.81e-07,2.14e-06
"2833","ENSRNOG00000016714","Emc4",146.7785286,-2.189539928,0.237014974,-9.237981419,2.51e-20,1.94e-19
"2931","ENSRNOG00000033064","Pde6h",49.86648185,-2.66300798,0.36212241,-7.353888932,1.93e-13,1.1e-12
"2963","ENSRNOG00000011032","G0s2",894.3489132,-2.091531258,0.091918602,-22.75416744,1.3e-114,5.01e-113
"2979","ENSRNOG00000018003","Aifm1",365.6059745,-2.27588259,0.162606499,-13.99625852,1.64e-44,2.45e-43
"2987","ENSRNOG00000018054","Cngb3",263.0937224,-2.475477834,0.131755484,-18.78842349,9.39e-79,2.46e-77
"3027","ENSRNOG00000033693","St18",9.472750203,-2.91730793,0.858722172,-3.397266339,0.000680627,0.001782669
"3046","ENSRNOG00000010266","Fam83a",7.689424042,-3.669389273,1.129014047,-3.250082921,0.001153714,0.002911221
"3062","ENSRNOG00000043329","Gip",12.41162409,-3.615534763,0.819905911,-4.409694717,1.04e-05,3.37e-05
"3089","ENSRNOG00000011951","Asb15",2495.201379,-3.518393769,0.066443261,-52.95335802,0,0
"3135","ENSRNOG00000052551","Tubg2",25.79835819,-3.194191371,0.453852364,-7.037952488,1.95e-12,1.05e-11
"3136","ENSRNOG00000056804","Lrrc69",4.471258155,-4.588887557,1.341483385,-3.420756164,0.000624473,0.001642877
"3137","ENSRNOG00000055382","Cops5",19.18434813,-2.918937895,0.646466543,-4.515218808,6.33e-06,2.11e-05
"3202","ENSRNOG00000018570","Ddx1",629.1218144,-2.549205254,0.108243154,-23.55072965,1.23e-122,5.15e-121
"3205","ENSRNOG00000023126","Tmem269",2.307842028,-4.903992667,1.582346065,-3.09919099,0.001940499,0.004720602
