"","V1","Gene names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"100","ENSRNOG00000014907","Prmt7",12.21739468,2.275676091,0.488601613,4.657528812,3.2e-06,1.1e-05
"143","ENSRNOG00000011815","Zup1",3014.014209,3.588046284,0.053627915,66.90631696,0,0
"178","ENSRNOG00000015159","Tap2",7.833478489,7.797657602,1.283820462,6.073791338,1.25e-09,5.69e-09
"247","ENSRNOG00000018690","Npffr1",131.9917608,2.300950785,0.154572032,14.88594508,4.07e-50,6.82e-49
"277","ENSRNOG00000018915","Tube1",3.015192031,6.200401255,1.458368969,4.251599825,2.12e-05,6.69e-05
"296","ENSRNOG00000016625","unkown",9.834924702,2.54300952,0.566596719,4.488217871,7.18e-06,2.38e-05
"307","ENSRNOG00000060475","Tfip11",9.342271078,3.267850969,0.977309184,3.343722769,0.000826623,0.002133451
"344","ENSRNOG00000021493","Abcf1",2.453429309,2.397264284,1.023107835,2.343119857,0.019123239,0.038235979
"391","ENSRNOG00000053260","Auts2l1",20.40811587,2.162791307,0.414357171,5.219630457,1.79e-07,6.91e-07
"397","ENSRNOG00000058422","Tmem248",22.55948678,2.277385494,0.408270709,5.578126091,2.43e-08,1.01e-07
"565","ENSRNOG00000049028","Ndufv3",71.75202132,6.147691579,0.398312422,15.43434559,9.62e-54,1.72e-52
"585","ENSRNOG00000016756","Dnmt3l",97.09684268,2.855915372,0.172349878,16.57045194,1.14e-61,2.31e-60
"591","ENSRNOG00000017198","Ube2g2",54.16937607,9.79478855,1.192229456,8.215523031,2.11e-16,1.41e-15
"600","ENSRNOG00000013395","Gna12",11.8672243,3.190855881,0.63606939,5.016521671,5.26e-07,1.94e-06
"619","ENSRNOG00000016362","Cux2",5.249897677,2.705567469,0.962470386,2.811065679,0.004937771,0.011157928
"730","ENSRNOG00000032004","Mdh2",1.773961993,3.175658538,1.37060872,2.316969455,0.020505396,0.040726771
"738","ENSRNOG00000028891","Fzd9",37.50631433,2.198114343,0.262150741,8.384925156,5.08e-17,3.48e-16
"962","ENSRNOG00000012344","Txnrd2",1.793668988,3.374456494,1.457238056,2.315652188,0.020577267,0.04083834
"963","ENSRNOG00000012719","Gnb1l",8.751080293,2.236907217,0.531132545,4.211580027,2.54e-05,7.92e-05
"1222","ENSRNOG00000029078","Rnf2",668.6971784,3.068228057,0.103504595,29.64339959,4.13e-193,3.05e-191
"1228","ENSRNOG00000015829","Trim7",25.46660785,2.447032406,0.41395932,5.911287135,3.39e-09,1.5e-08
"1257","ENSRNOG00000014030","Rhoh",813.8761217,4.499119227,0.106637209,42.19089454,0,0
"1260","ENSRNOG00000058956","Kifap3",30.44196433,2.207741806,0.306709188,7.198159995,6.1e-13,3.38e-12
"1262","ENSRNOG00000022822","Rchy1",215.7967712,6.405923338,0.242230154,26.44560654,4.1e-154,2.3e-152
"1274","ENSRNOG00000051253","Tekt5",89.31604032,2.502253029,0.201973282,12.38902989,3e-35,3.61e-34
"1289","ENSRNOG00000011160","Ero1b",64.6214582,5.399132136,0.355347738,15.19393979,3.88e-52,6.75e-51
"1352","ENSRNOG00000011659","Mettl16",26.11304619,4.483712779,0.434224399,10.3257965,5.39e-25,4.94e-24
"1353","ENSRNOG00000018940","Dlg3",10.54270593,4.298833202,0.666703357,6.447894935,1.13e-10,5.47e-10
"1384","ENSRNOG00000013017","Rbfox1",317.8230917,2.365554917,0.091437208,25.87081303,1.42e-147,7.49e-146
"1406","ENSRNOG00000033733","Fam183a",7.323548069,2.683267457,0.743983121,3.606624105,0.000310207,0.000852062
"1447","ENSRNOG00000012584","Ren",65.46141801,2.03143176,0.189267044,10.73315098,7.11e-27,6.83e-26
"1460","ENSRNOG00000015310","Shroom4",644.3769131,4.975442739,0.102380326,48.59764524,0,0
"1461","ENSRNOG00000057308","Ndp",6.098581014,7.602421253,1.339920317,5.673786087,1.4e-08,5.89e-08
"1477","ENSRNOG00000030404","Srr",420.1945932,2.87197078,0.162122813,17.71478501,3.22e-70,7.43e-69
"1539","ENSRNOG00000020425","Rpa1",1508.168293,2.00388537,0.059460083,33.70135483,5.52e-249,5.47e-247
"1546","ENSRNOG00000018503","Fcrlb",92.28363924,2.479655819,0.190050424,13.04735749,6.58e-39,8.73e-38
"1630","ENSRNOG00000027030","unkown",647.9453266,4.868655241,0.117425884,41.46151663,0,0
"1631","ENSRNOG00000018262","Grin2c",11.03427819,2.956733776,0.544912112,5.426074614,5.76e-08,2.32e-07
"1722","ENSRNOG00000015783","Lrrc59",1.347418346,4.165045295,1.860858071,2.238239101,0.025205467,0.049040252
"1730","ENSRNOG00000016448","Hcfc1r1",2279.751838,2.427081736,0.054231677,44.75394955,0,0
"1802","ENSRNOG00000019342","Prox1",256.303493,7.515526542,0.314088663,23.92804144,1.56e-126,6.93e-125
"1855","ENSRNOG00000053015","Acot9",45.14181551,2.47083097,0.247119877,9.998511663,1.55e-23,1.35e-22
"1906","ENSRNOG00000022737","C1qtnf2",3.760118376,4.031524273,1.107956624,3.638702261,0.000274015,0.000758604
"1955","ENSRNOG00000016102","Tnpo2",1.455271084,3.472729063,1.508909537,2.301482613,0.021364367,0.042271457
"2082","ENSRNOG00000020434","AABR07062753.1",7.899197779,2.153369536,0.575211057,3.743616383,0.000181391,0.000513813
"2088","ENSRNOG00000059500","Crim1",320.6849812,6.886020242,0.232454468,29.62309265,7.54e-193,5.56e-191
"2120","ENSRNOG00000013426","Egfl6",147.3745759,2.132170855,0.161874653,13.17174011,1.28e-39,1.72e-38
"2126","ENSRNOG00000015156","unkown",1.500341524,4.87127527,1.627326786,2.993421672,0.002758683,0.006515157
"2132","ENSRNOG00000016791","Cltc",231.1887919,2.021843657,0.122252454,16.5382664,1.95e-61,3.9e-60
"2172","ENSRNOG00000019372","Babam2",435.518792,3.146335748,0.092838805,33.89030854,9.25e-252,9.21e-250
"2192","ENSRNOG00000050201","Pigr",747.718696,2.183497889,0.077059862,28.33508677,1.28e-176,8.49e-175
"2199","ENSRNOG00000020025","Fam117a",679.3460624,2.196286384,0.087346963,25.1443932,1.63e-139,8.14e-138
"2281","ENSRNOG00000021098","Ofd1",45.82242362,3.94189609,0.29702088,13.27144437,3.39e-40,4.64e-39
"2367","ENSRNOG00000020305","Meis2",36.64920339,10.18731384,1.203800329,8.462627556,2.61e-17,1.81e-16
"2368","ENSRNOG00000023151","Ano3",49.67236906,6.170443498,0.50032875,12.33277819,6.03e-35,7.21e-34
"2371","ENSRNOG00000020349","Ralgps2",125.08005,2.506514007,0.17970002,13.94832349,3.22e-44,4.78e-43
"2417","ENSRNOG00000020998","Sar1b",2.566163566,4.572989831,1.450585643,3.152512816,0.001618717,0.003987347
