ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000201,Gsta5,57.82688652,2.358407539,0.221016319,10.6707394,1.40E-26,1.45E-25
ENSRNOG00000000239,Ccl7,65.31919826,3.598778462,0.300690543,11.96837928,5.20E-33,6.58E-32
ENSRNOG00000000345,unkown,6.645520091,5.405357527,1.300809274,4.155380526,3.25E-05,9.89E-05
ENSRNOG00000000479,Kifc1,1155.725275,2.743788609,0.072207691,37.99856474,0,0
ENSRNOG00000000488,Hmga1,10308.367,2.567522952,0.071225048,36.04803396,1.48E-284,3.88E-282
ENSRNOG00000000632,Cdk1,1822.990187,2.398760656,0.100057866,23.97373393,5.23E-127,3.21E-125
ENSRNOG00000000787,unkown,31.34428796,2.447861338,0.377436209,6.485496835,8.84E-11,4.37E-10
ENSRNOG00000001349,Mcm7,2141.55924,2.068737587,0.078602841,26.31886535,1.17E-152,9.76E-151
ENSRNOG00000001514,Cdca7,416.7872988,2.170720095,0.098682764,21.99695276,3.08E-107,1.41E-105
ENSRNOG00000001628,Pcp4,6.927456124,6.422490248,1.261337878,5.091807961,3.55E-07,1.31E-06
ENSRNOG00000001692,Chaf1b,313.3908358,2.016073706,0.10521303,19.1618254,7.71E-82,2.56E-80
ENSRNOG00000001714,Atp13a4,21.93520178,6.77340517,0.904197705,7.491066536,6.83E-14,4.11E-13
ENSRNOG00000001926,Cldn1,91.4188346,2.54614681,0.899093351,2.831904837,0.004627162,0.010449286
ENSRNOG00000001963,Mx2,21.18160535,2.018845973,0.449391949,4.492394623,7.04E-06,2.29E-05
ENSRNOG00000002158,Ibsp,17.28328296,3.227752987,0.502315604,6.425747002,1.31E-10,6.41E-10
ENSRNOG00000002167,Dmp1,26.51251943,5.906775999,0.630331119,9.370909705,7.19E-21,6.01E-20
ENSRNOG00000002331,Aldh3a1,11.91267551,3.73849653,0.64130518,5.829512445,5.56E-09,2.40E-08
ENSRNOG00000002471,Polq,180.3072867,2.51851762,0.183373163,13.73438501,6.32E-43,1.03E-41
ENSRNOG00000002616,Slc5a10,1.180165873,4.122309478,1.62119649,2.542757465,0.010998154,0.023073069
ENSRNOG00000002711,Nuf2,822.0820482,2.69832271,0.084390191,31.97436438,2.48E-224,4.17E-222
ENSRNOG00000002754,Areg,32.61741462,2.829794063,0.3218677,8.791792592,1.47E-18,1.12E-17
ENSRNOG00000002771,Ereg,173.7577741,2.010965443,0.181065631,11.10627915,1.17E-28,1.29E-27
ENSRNOG00000002827,Rbfox1,370.5153946,2.251403778,0.102204624,22.02839453,1.54E-107,7.05E-106
