"","ENSEMBL ID","Gene names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NA",NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA
"641","ENSRNOG00000001295","S100b",105.7232384,-4.232897271,0.242589448,-17.44881038,3.51e-68,2.25e-66
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA
"830","ENSRNOG00000001652","Erg",15.75446774,-2.99764936,0.56438732,-5.311333644,1.09e-07,6.12e-07
"937","ENSRNOG00000001854","Tmtc1",12.76982435,-2.14194351,0.608743415,-3.5186311,0.000433779,0.001484515
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA
"1020","ENSRNOG00000002052","Ccdc80",139408.6725,-2.032264781,0.070281782,-28.91595413,7.52e-184,3.34e-181
"1037","ENSRNOG00000002092","Hunk",4.335062523,-2.651539434,1.132363729,-2.341596932,0.019201439,0.045700292
"1066","ENSRNOG00000002145","Tmprss7",2.548525611,-4.862052316,1.432744142,-3.393524477,0.000689994,0.002268814
"1183","ENSRNOG00000002369","Rgs8",51.0732781,-2.167263079,0.299097415,-7.246010737,4.29e-13,3.98e-12
"1190","ENSRNOG00000002382","unkown",25.90187292,-2.58903758,0.382974188,-6.760344855,1.38e-11,1.13e-10
"1263","ENSRNOG00000002548","Tnn",7886.529183,-2.812420283,0.082993478,-33.88724462,1.03e-251,9.62e-249
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA,NA,NA,NA
"NA.12",NA,NA,NA,NA,NA,NA,NA,NA
"NA.13",NA,NA,NA,NA,NA,NA,NA,NA
"1527","ENSRNOG00000003098","Prom1",24.02891625,-2.013693274,0.475963508,-4.230772405,2.33e-05,9.82e-05
"1562","ENSRNOG00000003171","Mpz",21.75599725,-2.61172199,0.48197995,-5.418735761,6e-08,3.47e-07
"NA.14",NA,NA,NA,NA,NA,NA,NA,NA
"NA.15",NA,NA,NA,NA,NA,NA,NA,NA
"1724","ENSRNOG00000003532","Magea13",2.665238228,-4.291552879,1.573449921,-2.727479802,0.006382016,0.017111718
"NA.16",NA,NA,NA,NA,NA,NA,NA,NA
"NA.17",NA,NA,NA,NA,NA,NA,NA,NA
"NA.18",NA,NA,NA,NA,NA,NA,NA,NA
"2120","ENSRNOG00000004275","Egfl6",5.445604812,-2.211434663,0.893313624,-2.475541181,0.013303442,0.032983146
"NA.19",NA,NA,NA,NA,NA,NA,NA,NA
"NA.20",NA,NA,NA,NA,NA,NA,NA,NA
"2275","ENSRNOG00000004560","Cacna1b",61.72652785,-2.114738677,0.277533084,-7.619771469,2.54e-14,2.53e-13
"NA.21",NA,NA,NA,NA,NA,NA,NA,NA
