ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000239,Ccl7,65.31919826,2.171061658,0.254524822,8.529862199,1.47E-17,1.79E-16
ENSRNOG00000000345,unkown,6.645520091,2.300977563,0.888033382,2.591093546,0.009567148,0.024536185
ENSRNOG00000000488,Hmga1,10308.367,2.180866678,0.071144241,30.6541561,2.33E-206,1.40E-203
ENSRNOG00000001128,Tesc,5.736856472,2.188112295,0.850358203,2.573165389,0.010077304,0.025742764
ENSRNOG00000001628,Pcp4,6.927456124,3.305688721,0.679759244,4.863028711,1.16E-06,5.78E-06
ENSRNOG00000001714,Atp13a4,21.93520178,5.847011676,0.738952887,7.912563547,2.52E-15,2.70E-14
ENSRNOG00000002158,Ibsp,17.28328296,3.474410875,0.546720219,6.355007103,2.08E-10,1.54E-09
ENSRNOG00000002167,Dmp1,26.51251943,7.506517243,1.061341317,7.072670329,1.52E-12,1.35E-11
ENSRNOG00000002331,Aldh3a1,11.91267551,4.517492792,0.816380426,5.533563332,3.14E-08,1.87E-07
ENSRNOG00000002754,Areg,32.61741462,2.187531009,0.300135278,7.288483463,3.13E-13,2.93E-12
ENSRNOG00000002866,Rassf6,4.065421241,2.717020477,0.959840861,2.83069891,0.004644642,0.012892016
ENSRNOG00000003741,Nptx1,11.62667926,2.619180297,0.496875576,5.27130015,1.35E-07,7.52E-07
ENSRNOG00000003984,Apln,148.0845501,3.208092813,0.161575624,19.85505449,9.97E-88,9.39E-86
ENSRNOG00000004498,Scin,123.8215538,6.335047231,0.500742229,12.65131413,1.10E-36,3.02E-35
ENSRNOG00000005758,Btbd11,58.78967017,2.095151268,0.226404105,9.254033929,2.16E-20,3.12E-19
ENSRNOG00000006320,unkown,9.784686765,2.38848354,0.568143852,4.204011944,2.62E-05,0.000109656
ENSRNOG00000006645,unkown,63.96708038,2.090037133,0.203370394,10.276998,8.95E-25,1.59E-23
ENSRNOG00000006715,unkown,17.5039628,3.835983772,0.634875533,6.042103645,1.52E-09,1.05E-08
ENSRNOG00000008223,Cnr1,103.3638325,4.526083523,0.24167013,18.72835304,2.91E-78,2.25E-76
ENSRNOG00000008478,Mmp13,2.474160944,4.409484617,1.430147303,3.083238075,0.002047613,0.006128303
ENSRNOG00000008596,Ttll9,10.90007595,2.077942543,0.521395654,3.985346878,6.74E-05,0.000265017
ENSRNOG00000008697,Ccn3,4085.93693,2.189170217,0.102669522,21.3224936,7.02E-101,8.22E-99
ENSRNOG00000008806,Clip4,67.85986686,2.072804701,0.264187534,7.845959526,4.30E-15,4.50E-14
ENSRNOG00000008816,Gpnmb,799.1136567,2.395702888,0.078941883,30.34767865,2.70E-202,1.52E-199
ENSRNOG00000009031,Gucy2c,5.62961455,2.180427305,0.717624773,3.038394698,0.002378422,0.007028577
ENSRNOG00000009074,AABR07017902.1,7.799266788,2.017748727,0.700175044,2.881777554,0.003954388,0.011150435
ENSRNOG00000009465,Sfrp2,9.140388201,2.288927856,0.566575104,4.039937229,5.35E-05,0.000213116
ENSRNOG00000009797,Aqp3,5.966395406,2.739341789,0.897594085,3.051871482,0.002274194,0.006751327
ENSRNOG00000009822,Tlr2,58.7022152,3.368192196,0.287851646,11.70113928,1.26E-31,2.84E-30
ENSRNOG00000010459,Fbxo43,3.010629253,2.690494746,1.008276796,2.668408871,0.007621145,0.020014109
ENSRNOG00000010598,unkown,12.84477898,3.375708401,0.555131595,6.080915641,1.19E-09,8.31E-09
ENSRNOG00000010805,Fabp4,28.97621168,4.295898895,1.253562977,3.426950999,0.000610399,0.002027651
ENSRNOG00000010893,Hes3,3.617613928,3.129306631,1.108138103,2.823931984,0.004743845,0.013143576
ENSRNOG00000010997,Ednrb,9.60918925,2.81620057,0.607062879,4.639059094,3.50E-06,1.64E-05
ENSRNOG00000011646,Rem2,131.0183382,3.163286958,0.187360178,16.88345402,5.96E-64,3.50E-62
ENSRNOG00000011820,Acp3,1.994363043,3.427069315,1.3627368,2.514843156,0.011908535,0.029873188
ENSRNOG00000012098,Adcyap1r1,193.2961927,4.913896067,0.233248116,21.0672487,1.59E-98,1.79E-96
