ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000345,unkown,6.645520091,2.679293328,0.885338527,3.026292483,0.002475727,0.009743427
ENSRNOG00000001628,Pcp4,6.927456124,2.807975353,0.585176994,4.798506062,1.60E-06,1.33E-05
ENSRNOG00000001714,Atp13a4,21.93520178,2.939274739,0.410909742,7.153090913,8.48E-13,1.50E-11
ENSRNOG00000001926,Cldn1,91.4188346,3.313355558,1.074820001,3.082707387,0.002051267,0.008272237
ENSRNOG00000002158,Ibsp,17.28328296,3.786323422,0.537646103,7.042408377,1.89E-12,3.25E-11
ENSRNOG00000002167,Dmp1,26.51251943,5.195116393,0.509745942,10.1915797,2.16E-24,8.92E-23
ENSRNOG00000002827,Rbfox1,370.5153946,2.040435636,0.098584772,20.69726989,3.67E-95,1.42E-92
ENSRNOG00000003741,Nptx1,11.62667926,2.518343133,0.457468578,5.504953245,3.69E-08,3.97E-07
ENSRNOG00000003984,Apln,148.0845501,3.972711028,0.170812445,23.25773768,1.19E-119,6.14E-117
ENSRNOG00000004498,Scin,123.8215538,3.346857192,0.202899541,16.49514418,3.98E-61,5.99E-59
ENSRNOG00000005944,Slurp1,12.47372658,2.254568964,0.443012243,5.089179808,3.60E-07,3.33E-06
ENSRNOG00000006645,unkown,63.96708038,2.058062835,0.191853695,10.7272515,7.58E-27,3.45E-25
ENSRNOG00000008223,Cnr1,103.3638325,2.754343817,0.162718962,16.92699969,2.85E-64,4.85E-62
ENSRNOG00000009768,unkown,4.094180188,2.309056279,0.954927468,2.418043628,0.015604206,0.045965464
ENSRNOG00000009822,Tlr2,58.7022152,2.595979217,0.252209488,10.29294829,7.58E-25,3.21E-23
ENSRNOG00000010598,unkown,12.84477898,4.152964488,0.601532156,6.903977531,5.06E-12,8.38E-11
ENSRNOG00000010805,Fabp4,28.97621168,2.853356865,1.106622154,2.578438227,0.009924804,0.031521309
ENSRNOG00000010997,Ednrb,9.60918925,2.180597504,0.540544077,4.034078989,5.48E-05,0.000336757
ENSRNOG00000012098,Adcyap1r1,193.2961927,2.867954013,0.139755019,20.52129531,1.39E-93,4.90E-91
ENSRNOG00000012290,Gchfr,77.85195606,2.41697439,0.234845965,10.29174331,7.68E-25,3.24E-23
ENSRNOG00000012989,Serinc2,200.4504352,2.053273641,0.12393307,16.56760089,1.19E-61,1.87E-59
ENSRNOG00000013408,Npas2,127.6670675,2.132412596,0.174240284,12.23834436,1.94E-34,1.17E-32
ENSRNOG00000014357,Gja4,98.16551093,2.280702687,0.176891969,12.89319519,4.92E-38,3.39E-36
ENSRNOG00000015677,Cda,67.67386547,3.417028961,0.246259835,13.87570554,8.89E-44,7.71E-42
ENSRNOG00000015957,F13a1,189.7861468,2.135538426,0.139831146,15.27226578,1.17E-52,1.43E-50
ENSRNOG00000016616,Prl7a3,4.247735676,2.918842823,0.795236552,3.670408279,0.000242163,0.001285188
ENSRNOG00000016962,Neu2,10.39930023,3.343165219,0.568476979,5.880915752,4.08E-09,4.96E-08
ENSRNOG00000017459,C1ql3,27.02859819,2.049514468,0.460287025,4.452687907,8.48E-06,6.16E-05
ENSRNOG00000017609,Cnga4,6.219430548,2.526393573,0.909633375,2.777375635,0.005479981,0.019178696
ENSRNOG00000018236,Cym,6.22915798,3.251100851,0.744125243,4.369023742,1.25E-05,8.75E-05
ENSRNOG00000019584,Dlk1,33.36046723,2.255850393,0.282231368,7.992911659,1.32E-15,3.04E-14
ENSRNOG00000019751,Cyb5r2,5.06037714,2.183049472,0.71616761,3.048238209,0.002301874,0.009142687
ENSRNOG00000019890,Folr2,4.193241844,2.460220609,0.738501798,3.331367122,0.000864205,0.003929312
ENSRNOG00000020455,Cst6,34.11906581,2.038414256,0.274527873,7.425163185,1.13E-13,2.20E-12
ENSRNOG00000020865,Ano1,81.85672628,2.155424093,0.184106128,11.70750865,1.17E-31,6.26E-30
ENSRNOG00000022921,Dact2,9.487275328,2.383402648,0.514365655,4.633673777,3.59E-06,2.82E-05
ENSRNOG00000024028,Sprr1a,7.367870662,2.94028236,0.723345984,4.064835394,4.81E-05,0.000299075
ENSRNOG00000024310,Kcnf1,138.2741734,2.517225686,0.178743738,14.08287486,4.84E-45,4.39E-43
ENSRNOG00000024620,Mamdc2,102.9822823,2.043036274,0.163530367,12.49331429,8.12E-36,5.06E-34
ENSRNOG00000024917,Flacc1,21.93155713,2.209598769,0.304196078,7.263731933,3.77E-13,6.96E-12
ENSRNOG00000025151,Ildr2,5.893658391,2.114597519,0.643103492,3.288113879,0.00100861,0.004492768
ENSRNOG00000025883,Ip6k3,6.749376312,2.278269782,0.731632435,3.113954049,0.001845982,0.007560294
ENSRNOG00000032626,Mmp3,30.68403496,2.734629455,0.275021505,9.943329553,2.70E-23,1.05E-21
ENSRNOG00000032832,Mmp10,3.82551552,2.507071168,0.855468244,2.930642004,0.003382624,0.012682182
ENSRNOG00000037080,Adamts17,4.046267335,2.279187859,0.842768755,2.704404791,0.006842688,0.02314326
ENSRNOG00000037190,Cd101,4.653996041,2.232833427,0.845164831,2.641891077,0.008244457,0.027053812
ENSRNOG00000038308,unkown,10.63158985,2.798460902,0.808699557,3.460445699,0.000539282,0.002595713
ENSRNOG00000039698,Prss22,10.64194591,2.415004911,0.44735085,5.398458307,6.72E-08,6.98E-07
ENSRNOG00000043451,Spp1,76814.98651,2.013850665,0.07207561,27.94080653,8.53E-172,8.27E-169
ENSRNOG00000046449,Npy,4.094180188,2.309056279,0.954927468,2.418043628,0.015604206,0.045965464
ENSRNOG00000049028,C5ar2,71.75202132,2.097563173,0.408281537,5.137541091,2.78E-07,2.63E-06
ENSRNOG00000049700,unkown,54.14010093,3.461244764,0.279456684,12.38562166,3.13E-35,1.91E-33
ENSRNOG00000052651,unkown,5.472437003,3.448492548,1.340884019,2.571805242,0.010116979,0.032020248
ENSRNOG00000053430,Slco4a1,6.539074688,3.290421184,0.620554767,5.302386445,1.14E-07,1.15E-06
ENSRNOG00000053891,Phf11,9.41503469,2.281806139,0.538261457,4.239215175,2.24E-05,0.000150031
ENSRNOG00000055025,Fam25a,38.96232632,3.387244247,0.356845256,9.492193585,2.26E-21,7.92E-20
ENSRNOG00000058111,Itga2,61.84505567,2.346467299,0.302068718,7.76799171,7.97E-15,1.71E-13
ENSRNOG00000058263,unkown,4.061243523,2.558709416,0.972387729,2.631367448,0.008504203,0.027765249
ENSRNOG00000058337,Plcb2,5.14375426,2.161507727,0.866255868,2.495230112,0.012587547,0.038466632
ENSRNOG00000059897,Gjb5,7.487091549,2.789474156,0.701888521,3.974241028,7.06E-05,0.000421722
ENSRNOG00000060635,unkown,5.146223289,2.477855608,0.743049657,3.334710656,0.000853882,0.003886587
