ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000004854,Has2,2875.628839,-3.346042116,0.06225496,-53.74739763,0,0.0
ENSRNOG00000011971,C1s,1413.693676,2.502279555,0.061594709,40.62491067,0,0.0
ENSRNOG00000021919,Rhoj,3706.352936,2.289939764,0.043349902,52.82456616,0,0.0
ENSRNOG00000021840,Cped1,582.6625077,3.421606927,0.086987554,39.33444215,0,0.0
ENSRNOG00000012183,Glrx,6080.453761,6.523988171,0.059576694,109.5057107,0,0.0
ENSRNOG00000025184,Shisa6,2008.332872,-5.020719456,0.096431433,-52.06517547,0,0.0
ENSRNOG00000005264,Sav1,3674.761568,2.03408005,0.051906533,39.18736085,0,0.0
ENSRNOG00000012325,Adk,2700.04835,2.261553752,0.053837172,42.00729095,0,0.0
ENSRNOG00000012795,Cables1,1189.163411,6.402673739,0.114661535,55.83976984,0,0.0
ENSRNOG00000012956,Tgm2,1762.365921,5.987510489,0.089400465,66.97404196,0,0.0
ENSRNOG00000007687,RT1-M1-5,2528.29439,-4.133040125,0.074326601,-55.60647262,0,0.0
ENSRNOG00000058539,Ccnb1,1323.212443,-2.591662584,0.063335369,-40.91967314,0,0.0
ENSRNOG00000013024,Csgalnact1,2319.398903,3.735967276,0.06166972,60.58025335,0,0.0
ENSRNOG00000029911,Cilp,8177.327698,-2.967238498,0.074340796,-39.91399958,0,0.0
ENSRNOG00000025184,Prss35,2008.332872,-2.139627708,0.056239447,-38.04496361,0,0.0
ENSRNOG00000013742,Large1,5438.130897,2.092095694,0.054704617,38.24349429,0,0.0
ENSRNOG00000024082,Gldn,13291.60312,-3.551736917,0.047282794,-75.11690089,0,0.0
ENSRNOG00000004854,Ano7,2875.628839,-3.317456422,0.062009143,-53.49947226,0,0.0
ENSRNOG00000017206,Duox1,1424.692848,-4.143717162,0.101128026,-40.97496342,0,0.0
ENSRNOG00000014030,Synm,813.8761217,4.424220485,0.10201134,43.3698889,0,0.0
ENSRNOG00000019587,LOC690675,6222.023676,-2.851468635,0.055502473,-51.37552417,0,0.0
ENSRNOG00000011815,Sgk1,3014.014209,3.029521869,0.050493997,59.99766381,0,0.0
ENSRNOG00000004589,Galnt16,2223.118443,2.659276789,0.057616453,46.15481608,0,0.0
ENSRNOG00000009005,Slco2a1,2057.587233,4.61366467,0.100870307,45.73858084,0,0.0
ENSRNOG00000009204,Il17re,570.1589358,4.635691583,0.09674483,47.91668527,0,0.0
ENSRNOG00000012216,Chga,4161.063684,-3.812081673,0.059741132,-63.81000097,0,0.0
ENSRNOG00000010635,St6galnac5,4178.441225,-2.935783988,0.045651862,-64.30808923,0,0.0
ENSRNOG00000022523,Fkbp5,6432.515906,3.993862055,0.042561005,93.83852865,0,0.0
ENSRNOG00000010389,Ndrg2,783.6917055,5.857087239,0.109806115,53.34026482,0,0.0
ENSRNOG00000010666,Ccn5,4664.329413,2.94658423,0.043403886,67.88756748,0,0.0
ENSRNOG00000027024,Jam2,4385.019907,-2.563983103,0.049082404,-52.23833563,0,0.0
ENSRNOG00000002657,Slc17a1,1702.29574,-2.927628709,0.076062869,-38.48959085,0,0.0
ENSRNOG00000011068,Papss2,2101.292604,2.167733411,0.053521855,40.50183624,0,0.0
ENSRNOG00000011071,Nt5e,2254.600706,4.986556445,0.070846526,70.38533421,0,0.0
ENSRNOG00000005157,Rbbp7,13251.47671,2.108312597,0.0461393,45.69450806,0,0.0
ENSRNOG00000011521,Filip1,449.1717559,4.705212344,0.117728314,39.96670114,0,0.0
ENSRNOG00000000479,Kifc1,1155.725275,2.743788609,0.072207691,37.99856474,0,0.0
ENSRNOG00000011648,Aqp1,31232.72447,2.944276313,0.028378215,103.7512856,0,0.0
ENSRNOG00000011800,F3,1381.362721,3.107709289,0.059509071,52.2224468,0,0.0
ENSRNOG00000061484,Adamts2,1472.131528,-2.619377445,0.069159863,-37.87424291,0,0.0
ENSRNOG00000021318,Epas1,3312.115073,9.805680438,0.175871846,55.75469113,0,0.0
ENSRNOG00000005861,Hsd11b1,3085.804406,3.472797943,0.053278085,65.18248442,0,0.0
ENSRNOG00000014090,Retsat,3271.693683,2.030285993,0.042984844,47.23260145,0,0.0
ENSRNOG00000016021,Lims2,1474.010362,4.708829567,0.073928683,63.69421649,0,0.0
ENSRNOG00000003715,Camk2a,2270.0605,-2.096621961,0.048790271,-42.97213213,0,0.0
ENSRNOG00000016351,Frrs1,1072.534638,2.511846968,0.057135727,43.96280729,0,0.0
ENSRNOG00000016494,Tmem204,676.2888366,3.446807191,0.087959231,39.18641821,0,0.0
ENSRNOG00000016538,Itga8,3091.209013,4.113440528,0.094203707,43.66537877,0,0.0
ENSRNOG00000016623,Tmeff2,935.8951267,3.711671595,0.070720989,52.48331015,0,0.0
ENSRNOG00000016695,Mmp2,15898.23993,2.096107953,0.026845097,78.08159369,0,0.0
ENSRNOG00000016752,Crispld2,19339.82403,7.90038626,0.061232427,129.0229157,0,0.0
ENSRNOG00000007081,Xdh,5095.96729,6.620413429,0.075128765,88.12088771,0,0.0
ENSRNOG00000020425,Stim1,1508.168293,2.276912008,0.059806716,38.07117593,0,0.0
ENSRNOG00000017212,Spsb1,1789.130078,2.138965358,0.047140317,45.37443712,0,0.0
ENSRNOG00000017307,Prss23,42223.44299,2.170098526,0.029952579,72.45114125,0,0.0
ENSRNOG00000017484,Gja5,1915.81174,6.299067632,0.091738419,68.663355,0,0.0
ENSRNOG00000021669,Zfyve28,4729.613089,-2.458031487,0.059880206,-41.04914852,0,0.0
ENSRNOG00000007319,Matn4,1626.764996,-4.134040465,0.088637333,-46.63994666,0,0.0
ENSRNOG00000059947,Sdc1,2744.307252,-2.334892797,0.059373545,-39.32547425,0,0.0
ENSRNOG00000015904,Wfdc1,2847.047061,3.860116594,0.05640053,68.44113995,0,0.0
ENSRNOG00000051952,Tes,2590.220629,-2.498050214,0.057987447,-43.0791551,0,0.0
ENSRNOG00000015880,Dpep1,913.9645792,5.90271235,0.105953851,55.71022001,0,0.0
ENSRNOG00000004019,tGap1,4735.865287,-2.452777513,0.053790875,-45.59839383,0,0.0
ENSRNOG00000014398,Scara5,1917.042424,7.736331509,0.120778661,64.05379413,0,0.0
ENSRNOG00000006052,Sulf2,3848.437327,4.044014595,0.066993755,60.36405339,0,0.0
ENSRNOG00000015033,Mxd4,5509.823832,2.724491512,0.040564982,67.16363118,0,0.0
ENSRNOG00000006076,Steap2,3029.211067,2.69470885,0.045473368,59.25905546,0,0.0
ENSRNOG00000048411,Uhrf1,1860.730085,-2.950229634,0.076649256,-38.48999692,0,0.0
ENSRNOG00000015036,Ccn2,125266.2654,2.003795969,0.03246086,61.72960269,0,0.0
ENSRNOG00000049033,Racgap1,1891.624565,-2.407396114,0.063713414,-37.78476099,0,0.0
ENSRNOG00000008943,Penk,41032.20651,3.741117097,0.070987215,52.70128006,0,0.0
ENSRNOG00000015310,Lrrc32,644.3769131,6.239380931,0.127465591,48.94953137,0,0.0
ENSRNOG00000015406,Pgm5,2761.750394,2.665526342,0.049625195,53.71316636,0,0.0
ENSRNOG00000004342,Lypd3,1908.776836,-4.182857336,0.090747213,-46.09350764,0,0.0
ENSRNOG00000015410,Aspn,1452.95311,2.681267668,0.066523805,40.30538652,0,0.0
ENSRNOG00000015505,Mfap5,4309.548805,4.54879902,0.067460112,67.42946118,0,0.0
ENSRNOG00000059947,Ncoa4,2744.307252,-2.848143394,0.058945551,-48.31820803,0,0.0
ENSRNOG00000039902,Rell2,2299.984485,-3.971412696,0.081820569,-48.53807215,0,0.0
ENSRNOG00000015736,Dhrs3,722.3013314,3.616371253,0.083951658,43.07682933,0,0.0
ENSRNOG00000019018,Plat,3152.205325,-2.188193504,0.04608106,-47.48574637,0,0.0
ENSRNOG00000018233,Gas6,16861.36549,3.617513683,0.03512928,102.9771653,0,0.0
ENSRNOG00000004210,Osr1,2442.757761,2.169913963,0.050731242,42.77273498,0,0.0
ENSRNOG00000002093,Tgfbr3,962.5628812,2.316373113,0.056182709,41.22928854,0,0.0
ENSRNOG00000001247,Clip1,4271.86541,2.474322219,0.054927567,45.04700233,0,0.0
ENSRNOG00000019440,Kcnn4,7596.047406,-2.534558312,0.048131894,-52.65860361,0,0.0
ENSRNOG00000002097,Rasl11b,2413.14462,3.845647867,0.055042459,69.86693489,0,0.0
ENSRNOG00000019587,Ptprn,6222.023676,-2.434199396,0.055640683,-43.74855324,0,0.0
ENSRNOG00000009204,Mak16,570.1589358,4.096019073,0.093190448,43.95320739,0,0.0
ENSRNOG00000061373,Ctsb,3162.567627,2.380344271,0.042584671,55.89673996,0,0.0
ENSRNOG00000011150,Arsb,1597.858389,2.025480384,0.04728573,42.834918,0,0.0
ENSRNOG00000010797,Esm1,7126.915514,2.125806388,0.048952552,43.42585429,0,0.0
ENSRNOG00000002215,Mylk,979.0109179,4.259868617,0.093775282,45.42634841,0,0.0
ENSRNOG00000010721,Dlgap5,1241.122119,2.540430376,0.064039734,39.66959592,0,0.0
ENSRNOG00000011648,Trim2,31232.72447,4.832996503,0.030305522,159.4757735,0,0.0
ENSRNOG00000002548,Tnn,7886.529183,6.721178586,0.081076552,82.89916647,0,0.0
ENSRNOG00000027030,Adm,647.9453266,4.307948415,0.10595616,40.65783809,0,0.0
ENSRNOG00000057713,Trmo,2234.732351,2.072943651,0.04786156,43.31124316,0,0.0
ENSRNOG00000006076,Fam214b,3029.211067,2.736283786,0.044752191,61.14301268,0,0.0
ENSRNOG00000003120,Prelp,7171.206209,4.696228566,0.058230963,80.64830671,0,0.0
ENSRNOG00000011971,Tekt2,1413.693676,2.410750409,0.062580229,38.52255645,0,0.0
ENSRNOG00000003259,C1qtnf1,971.5327586,5.507036853,0.097672895,56.38244704,0,0.0
ENSRNOG00000001989,Alcam,3695.105854,2.060444722,0.054193336,38.02026,0,0.0
ENSRNOG00000001030,Tsc22d1,7945.460324,2.118239427,0.04635746,45.69360382,0,0.0
ENSRNOG00000008943,Lrrc71,41032.20651,5.154087673,0.071608251,71.97617083,0,0.0
ENSRNOG00000060773,Sertad4,4157.581238,-2.464306032,0.045687316,-53.93851668,0,0.0
ENSRNOG00000006052,Triml1,3848.437327,4.023165687,0.066073326,60.88940744,0,0.0
ENSRNOG00000028668,Slc28a2,478.3941597,4.722765289,0.110937684,42.57133496,0,0.0
ENSRNOG00000060949,Anxa8,4464.534168,-2.041563404,0.040282507,-50.68114088,0,0.0
ENSRNOG00000001376,Mettl7a,538.5213798,3.165489901,0.080791408,39.18102181,0,0.0
ENSRNOG00000000158,Cdo1,399.0690348,5.164733403,0.137214575,37.63983089,0,0.0
ENSRNOG00000000172,Sqor,1645.577881,3.000387338,0.059296149,50.60003675,0,0.0
ENSRNOG00000012956,Elof1,1762.365921,5.972931482,0.094203566,63.40451594,0,0.0
ENSRNOG00000001414,Serpine1,147721.2224,2.086601596,0.055457197,37.62544261,0,0.0
ENSRNOG00000007946,Ptges2,2469.93617,2.308705541,0.057501676,40.15023032,0,0.0
ENSRNOG00000013057,Prc1,3430.889609,2.31256619,0.053508566,43.21861629,0,0.0
ENSRNOG00000000302,Sesn1,764.7201501,3.389509222,0.080255187,42.23414539,0,0.0
ENSRNOG00000000172,Cap1,1645.577881,2.815681337,0.057025336,49.37597106,0,0.0
ENSRNOG00000027520,Pls3,25385.7113,2.213798497,0.033564946,65.95567035,0,0.0
ENSRNOG00000001607,Adamts1,15688.16172,3.356867553,0.058547576,57.33572193,0,0.0
ENSRNOG00000011800,Tex10,1381.362721,2.681457607,0.05895091,45.48628005,0,0.0
ENSRNOG00000016351,Ttc12,1072.534638,2.885716468,0.061754105,46.72914408,0,0.0
ENSRNOG00000015310,Shroom4,644.3769131,4.975442739,0.102380326,48.59764524,0,0.0
ENSRNOG00000002934,Atp1b1,3803.241506,2.009546455,0.040176621,50.01780595,0,0.0
ENSRNOG00000026053,Grem1,14560.99634,-3.461704123,0.044891429,-77.11280702,0,0.0
ENSRNOG00000014030,Rhoh,813.8761217,4.499119227,0.106637209,42.19089454,0,0.0
ENSRNOG00000011815,Zup1,3014.014209,3.588046284,0.053627915,66.90631696,0,0.0
ENSRNOG00000003587,Vegfd,1604.111546,3.704832284,0.079666973,46.50399228,0,0.0
ENSRNOG00000007923,Cgref1,1201.273678,2.791747102,0.057912941,48.20592837,0,0.0
ENSRNOG00000003687,Rgs2,660.1430989,6.447900695,0.157620651,40.90771506,0,0.0
ENSRNOG00000008697,Ccn3,4085.93693,5.494683868,0.058420278,94.05439492,0,0.0
ENSRNOG00000016448,Hcfc1r1,2279.751838,2.427081736,0.054231677,44.75394955,0,0.0
ENSRNOG00000024728,Arhgap22,2109.773996,-4.450407199,0.086084586,-51.69807259,0,0.0
ENSRNOG00000021669,Mybl1,4729.613089,-2.984664915,0.059296627,-50.33448018,0,0.0
ENSRNOG00000017484,Znfx1,1915.81174,4.751585459,0.077051387,61.66774708,0,0.0
ENSRNOG00000032941,Flnc,1047.20485,3.466346931,0.06861941,50.51554537,0,0.0
ENSRNOG00000004400,Avpr1a,1857.869291,2.742562211,0.04806392,57.06072649,0,0.0
ENSRNOG00000004516,Itgbl1,1990.232171,4.328397906,0.065444586,66.13836447,0,0.0
