ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000156,Megf6,16.87393965,2.061009099,0.687384591,2.998334741,0.002714593,0.011979186
ENSRNOG00000001714,Atp13a4,21.93520178,2.907736937,0.764030208,3.805787922,0.000141353,0.000899576
ENSRNOG00000002331,Aldh3a1,11.91267551,3.961011171,0.82233175,4.816804372,1.46E-06,1.38E-05
ENSRNOG00000004498,Scin,123.8215538,2.98819004,0.520727651,5.73848927,9.55E-09,1.29E-07
ENSRNOG00000005465,Kcnmb1,25.79989787,2.006447735,0.459218145,4.369269287,1.25E-05,9.98E-05
ENSRNOG00000006715,unkown,17.5039628,4.312055195,0.632522945,6.817231262,9.28E-12,1.82E-10
ENSRNOG00000011160,Sv2b,64.6214582,3.183103783,1.260464826,2.525341222,0.0115586,0.039869101
ENSRNOG00000012098,Adcyap1r1,193.2961927,2.045942055,0.24767093,8.260727474,1.45E-16,4.48E-15
ENSRNOG00000015365,Col4a3,403.8465781,2.721063507,0.165120055,16.47930351,5.17E-61,1.32E-58
ENSRNOG00000020441,Vps25,60.89269276,2.102031135,0.263626672,7.97351467,1.54E-15,4.37E-14
ENSRNOG00000021752,Foxq1,243.6406897,3.042986465,0.146550203,20.76412313,9.14E-96,6.89E-93
ENSRNOG00000028841,Mt1m,34.63976108,2.78623368,1.089715082,2.556846028,0.010562596,0.036940896
ENSRNOG00000039698,Prss22,10.64194591,3.084914778,0.94390635,3.268242426,0.001082176,0.005376985
ENSRNOG00000046521,unkown,116.030419,2.604870381,0.21287196,12.23679427,1.98E-34,1.77E-32
ENSRNOG00000046717,unkown,34.1961231,2.993714623,1.150461165,2.602186596,0.009263144,0.03312662
ENSRNOG00000047218,Clic5,38.62007583,7.027632199,1.196156078,5.875179943,4.22E-09,6.07E-08
ENSRNOG00000052311,unkown,7.896155759,2.04779962,0.592995648,3.453313065,0.000553746,0.002976088
ENSRNOG00000053350,unkown,5.400770613,2.552098756,0.765453819,3.334098926,0.000855762,0.00437609
ENSRNOG00000054073,unkown,6.510060146,2.850181662,0.993487101,2.868866298,0.004119459,0.016994319
ENSRNOG00000056249,unkown,8.801188753,2.005395156,0.628977198,3.188343174,0.001430906,0.006876197
ENSRNOG00000059956,Bcl6b,6.19836707,2.071698969,0.814812985,2.542545353,0.011004832,0.038283801
ENSRNOG00000061994,unkown,5.68951504,2.01085361,0.732955703,2.743485864,0.006079067,0.023322692
