"","ENSEMBL ID","Gene names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"60","ENSRNOG00000000156","Megf6",16.87393965,2.061009099,0.687384591,2.998334741,0.002714593,0.011979186
"858","ENSRNOG00000001714","Atp13a4",21.93520178,2.907736937,0.764030208,3.805787922,0.000141353,0.000899576
"1163","ENSRNOG00000002331","Aldh3a1",11.91267551,3.961011171,0.82233175,4.816804372,1.46e-06,1.38e-05
"2242","ENSRNOG00000004498","Scin",123.8215538,2.98819004,0.520727651,5.73848927,9.55e-09,1.29e-07
"2725","ENSRNOG00000005465","Kcnmb1",25.79989787,2.006447735,0.459218145,4.369269287,1.25e-05,9.98e-05
"3223","ENSRNOG00000006715","unkown",17.5039628,4.312055195,0.632522945,6.817231262,9.28e-12,1.82e-10
"5509","ENSRNOG00000011160","Sv2b",64.6214582,3.183103783,1.260464826,2.525341222,0.0115586,0.039869101
"5989","ENSRNOG00000012098","Adcyap1r1",193.2961927,2.045942055,0.24767093,8.260727474,1.45e-16,4.48e-15
"7616","ENSRNOG00000015365","Col4a3",403.8465781,2.721063507,0.165120055,16.47930351,5.17e-61,1.32e-58
"10340","ENSRNOG00000020441","Vps25",60.89269276,2.102031135,0.263626672,7.97351467,1.54e-15,4.37e-14
"10976","ENSRNOG00000021752","Foxq1",243.6406897,3.042986465,0.146550203,20.76412313,9.14e-96,6.89e-93
"12923","ENSRNOG00000028841","Mt1m",34.63976108,2.78623368,1.089715082,2.556846028,0.010562596,0.036940896
"14973","ENSRNOG00000039698","Prss22",10.64194591,3.084914778,0.94390635,3.268242426,0.001082176,0.005376985
"15967","ENSRNOG00000046521","unkown",116.030419,2.604870381,0.21287196,12.23679427,1.98e-34,1.77e-32
"16033","ENSRNOG00000046717","unkown",34.1961231,2.993714623,1.150461165,2.602186596,0.009263144,0.03312662
"16215","ENSRNOG00000047218","Clic5",38.62007583,7.027632199,1.196156078,5.875179943,4.22e-09,6.07e-08
"18244","ENSRNOG00000052311","unkown",7.896155759,2.04779962,0.592995648,3.453313065,0.000553746,0.002976088
"18724","ENSRNOG00000053350","unkown",5.400770613,2.552098756,0.765453819,3.334098926,0.000855762,0.00437609
"19074","ENSRNOG00000054073","unkown",6.510060146,2.850181662,0.993487101,2.868866298,0.004119459,0.016994319
"20119","ENSRNOG00000056249","unkown",8.801188753,2.005395156,0.628977198,3.188343174,0.001430906,0.006876197
"21924","ENSRNOG00000059956","Bcl6b",6.19836707,2.071698969,0.814812985,2.542545353,0.011004832,0.038283801
"22954","ENSRNOG00000061994","unkown",5.68951504,2.01085361,0.732955703,2.743485864,0.006079067,0.023322692
"NA",NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA,NA,NA,NA
"NA.12",NA,NA,NA,NA,NA,NA,NA,NA
"NA.13",NA,NA,NA,NA,NA,NA,NA,NA
"NA.14",NA,NA,NA,NA,NA,NA,NA,NA
"NA.15",NA,NA,NA,NA,NA,NA,NA,NA
"NA.16",NA,NA,NA,NA,NA,NA,NA,NA
"NA.17",NA,NA,NA,NA,NA,NA,NA,NA
"NA.18",NA,NA,NA,NA,NA,NA,NA,NA
"NA.19",NA,NA,NA,NA,NA,NA,NA,NA
"NA.20",NA,NA,NA,NA,NA,NA,NA,NA
"NA.21",NA,NA,NA,NA,NA,NA,NA,NA
"NA.22",NA,NA,NA,NA,NA,NA,NA,NA
"NA.23",NA,NA,NA,NA,NA,NA,NA,NA
"NA.24",NA,NA,NA,NA,NA,NA,NA,NA
"NA.25",NA,NA,NA,NA,NA,NA,NA,NA
"NA.26",NA,NA,NA,NA,NA,NA,NA,NA
"NA.27",NA,NA,NA,NA,NA,NA,NA,NA
"NA.28",NA,NA,NA,NA,NA,NA,NA,NA
"NA.29",NA,NA,NA,NA,NA,NA,NA,NA
"NA.30",NA,NA,NA,NA,NA,NA,NA,NA
"NA.31",NA,NA,NA,NA,NA,NA,NA,NA
"NA.32",NA,NA,NA,NA,NA,NA,NA,NA
"NA.33",NA,NA,NA,NA,NA,NA,NA,NA
"NA.34",NA,NA,NA,NA,NA,NA,NA,NA
"NA.35",NA,NA,NA,NA,NA,NA,NA,NA
"NA.36",NA,NA,NA,NA,NA,NA,NA,NA
"NA.37",NA,NA,NA,NA,NA,NA,NA,NA
"NA.38",NA,NA,NA,NA,NA,NA,NA,NA
"NA.39",NA,NA,NA,NA,NA,NA,NA,NA
"NA.40",NA,NA,NA,NA,NA,NA,NA,NA
"NA.41",NA,NA,NA,NA,NA,NA,NA,NA
"NA.42",NA,NA,NA,NA,NA,NA,NA,NA
"NA.43",NA,NA,NA,NA,NA,NA,NA,NA
"NA.44",NA,NA,NA,NA,NA,NA,NA,NA
"NA.45",NA,NA,NA,NA,NA,NA,NA,NA
"NA.46",NA,NA,NA,NA,NA,NA,NA,NA
"NA.47",NA,NA,NA,NA,NA,NA,NA,NA
"NA.48",NA,NA,NA,NA,NA,NA,NA,NA
"NA.49",NA,NA,NA,NA,NA,NA,NA,NA
"NA.50",NA,NA,NA,NA,NA,NA,NA,NA
