ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000061484,Adamts2,1472.131528,-2.619377445,0.069159863,-37.87424291,0,0.0
ENSRNOG00000026053,Grem1,14560.99634,-3.461704123,0.044891429,-77.11280702,0,0.0
ENSRNOG00000024728,Arhgap22,2109.773996,-4.840820723,0.085769642,-56.43979158,0,0.0
ENSRNOG00000021669,Mybl1,4729.613089,-3.275841409,0.059057331,-55.46883605,0,0.0
ENSRNOG00000020552,Fosl1,1821.692171,-3.09339167,0.074693232,-41.41461824,0,0.0
ENSRNOG00000019587,Ptprn,6222.023676,-2.994580201,0.055275766,-54.17528215,0,0.0
ENSRNOG00000019440,Kcnn4,7596.047406,-2.945574419,0.047914239,-61.47597224,0,0.0
ENSRNOG00000018815,Plk1,1287.538491,-2.670795954,0.061848211,-43.18307553,0,0.0
ENSRNOG00000018567,Slc20a1,9947.590678,-2.536510675,0.035304343,-71.84698748,0,0.0
ENSRNOG00000016156,Nptxr,2274.761308,-2.651052103,0.070406541,-37.65349173,0,0.0
ENSRNOG00000048411,Uhrf1,1860.730085,-2.950229634,0.076649256,-38.48999692,0,0.0
ENSRNOG00000049033,Racgap1,1891.624565,-2.407396114,0.063713414,-37.78476099,0,0.0
ENSRNOG00000015461,Serpine2,5901.273007,-2.43025672,0.046757406,-51.97586755,0,0.0
ENSRNOG00000015423,Ccna2,1487.260603,-2.796767081,0.059186087,-47.25379254,0,0.0
ENSRNOG00000014336,Mcm5,2167.416618,-2.986792865,0.06068559,-49.21749736,0,0.0
ENSRNOG00000051952,Tes,2590.220629,-2.498050214,0.057987447,-43.0791551,0,0.0
ENSRNOG00000014117,Hmox1,2989.167207,-2.701673729,0.063999888,-42.21372585,0,0.0
ENSRNOG00000014080,Kif23,1813.528259,-2.515660088,0.060380843,-41.66321581,0,0.0
ENSRNOG00000014061,Dusp5,1139.879077,-3.856953066,0.088685569,-43.49019907,0,0.0
ENSRNOG00000013971,Psat1,4084.873352,-2.055702117,0.054210249,-37.92091282,0,0.0
ENSRNOG00000012772,Nqo1,25346.37453,-2.163506475,0.056372334,-38.37887024,0,0.0
ENSRNOG00000059947,Sdc1,2744.307252,-2.334892797,0.059373545,-39.32547425,0,0.0
ENSRNOG00000060773,Sertad4,4157.581238,-2.148972009,0.04554975,-47.17856832,0,0.0
ENSRNOG00000012216,Tgfbi,4161.063684,-3.912294492,0.059418603,-65.84292268,0,0.0
ENSRNOG00000011951,Plk2,2495.201379,-2.749162591,0.066973057,-41.04878488,0,0.0
ENSRNOG00000011306,Myod1,4303.588442,-2.713444694,0.069764505,-38.89434466,0,0.0
ENSRNOG00000010960,Ankh,5375.505437,-2.074799328,0.050025331,-41.47497478,0,0.0
ENSRNOG00000028415,Cdc20,1662.992308,-2.772754346,0.067544821,-41.05058391,0,0.0
ENSRNOG00000025184,Prss35,2008.332872,-3.712757216,0.097712189,-37.99686887,0,0.0
ENSRNOG00000013057,Prc1,3430.889609,-2.085799556,0.053737913,-38.81430159,0,0.0
ENSRNOG00000029911,Cilp,8177.327698,-2.967238498,0.074340796,-39.91399958,0,0.0
ENSRNOG00000024082,Gldn,13291.60312,-3.551736917,0.047282794,-75.11690089,0,0.0
ENSRNOG00000019018,Plat,3152.205325,-2.188193504,0.04608106,-47.48574637,0,0.0
ENSRNOG00000016752,Crispld2,19339.82403,-2.854058249,0.062945915,-45.34143702,0,0.0
