ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000003259,C1qtnf1,971.5327586,5.507036853,0.097672895,56.38244704,0,0.0
ENSRNOG00000014030,Synm,813.8761217,4.862897706,0.109039125,44.59773215,0,0.0
ENSRNOG00000056135,Tsc22d3,7421.822271,4.166756105,0.052765185,78.96790417,0,0.0
ENSRNOG00000056153,Tent5b,965.6281874,5.323521085,0.10757162,49.48815562,0,0.0
ENSRNOG00000057713,Cav2,2234.732351,2.451718574,0.050287633,48.7539073,0,0.0
ENSRNOG00000057880,Myh11,2685.285352,3.547186236,0.075329378,47.08901551,0,0.0
ENSRNOG00000058006,Sncg,1629.304854,4.825478843,0.100955117,47.79825906,0,0.0
ENSRNOG00000058186,Errfi1,16553.04349,2.70696785,0.043764326,61.85329668,0,0.0
ENSRNOG00000061373,Loxl3,3162.567627,2.211597005,0.042807766,51.6634531,0,0.0
ENSRNOG00000011815,Zup1,3014.014209,3.588046284,0.053627915,66.90631696,0,0.0
ENSRNOG00000052564,Gpx3,12784.56263,3.920712801,0.058654426,66.84427925,0,0.0
ENSRNOG00000059894,Hmmr,1167.337578,2.426815724,0.064324174,37.72789564,0,0.0
ENSRNOG00000014030,Rhoh,813.8761217,4.499119227,0.106637209,42.19089454,0,0.0
ENSRNOG00000056069,Kif11,1306.467968,2.695186925,0.067468982,39.94705172,0,0.0
ENSRNOG00000015310,Shroom4,644.3769131,4.975442739,0.102380326,48.59764524,0,0.0
ENSRNOG00000016448,Hcfc1r1,2279.751838,2.427081736,0.054231677,44.75394955,0,0.0
ENSRNOG00000054286,Rrm2,3444.739285,2.568650884,0.059322277,43.29993715,0,0.0
ENSRNOG00000013024,Csgalnact1,2319.398903,3.349187033,0.060704509,55.17196521,0,0.0
ENSRNOG00000053047,Top2a,3086.361629,2.813188773,0.068521345,41.05565599,0,0.0
ENSRNOG00000012956,Tgm2,1762.365921,6.491391581,0.100209624,64.77812521,0,0.0
ENSRNOG00000012795,Cables1,1189.163411,5.819355424,0.106056004,54.8705892,0,0.0
ENSRNOG00000058539,Ccnb1,1323.212443,2.945020137,0.062719324,46.95554624,0,0.0
ENSRNOG00000050869,Cebpd,1778.580404,3.517619041,0.089749366,39.19380361,0,0.0
ENSRNOG00000014398,Scara5,1917.042424,7.354918702,0.113740723,64.66389949,0,0.0
ENSRNOG00000049560,Glul,10788.1351,3.540195368,0.044819405,78.98800409,0,0.0
ENSRNOG00000018233,Gas6,16861.36549,2.370703987,0.034470104,68.77565504,0,0.0
ENSRNOG00000018740,Ugt1a3,1008.103448,3.379686734,0.078104632,43.2712712,0,0.0
ENSRNOG00000018911,Pfkfb3,1845.796082,3.623162934,0.075766955,47.81983038,0,0.0
ENSRNOG00000015505,Mfap5,4309.548805,3.614221431,0.064633126,55.91902585,0,0.0
ENSRNOG00000015410,Aspn,1452.95311,2.539395506,0.06655103,38.15711813,0,0.0
ENSRNOG00000015406,Pgm5,2761.750394,2.44406634,0.049383319,49.49173876,0,0.0
ENSRNOG00000015310,Lrrc32,644.3769131,5.592997584,0.11272701,49.61541673,0,0.0
