ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000001,Arsj,544.3846219,-0.137104186,0.075847086,-1.807639478,0.07066263,0.170101279
ENSRNOG00000000007,Gad1,2.7263854,1.028667515,1.265078701,0.813125313,0.416146215,
ENSRNOG00000000008,Alx4,0.46842069,1.473858401,3.996202276,0.368814764,0.712265799,
ENSRNOG00000000009,Tmco5b,0.494982762,1.459483626,2.865493757,0.50933059,0.610520519,
ENSRNOG00000000010,Cbln1,0.114894613,0,5.267904354,0,1,
ENSRNOG00000000012,Tcf15,0.274722856,0,5.267904354,0,1,
ENSRNOG00000000017,Steap1,1047.884688,-0.1579001,0.084293171,-1.873225301,0.06103728,0.152013189
ENSRNOG00000000021,AABR07061902.1,563.6895687,0.255271528,0.082571654,3.091515233,0.001991378,0.009191443
ENSRNOG00000000024,Hebp1,1417.580316,-0.16087895,0.092980543,-1.730243174,0.083586838,0.193287348
ENSRNOG00000000033,Tmcc2,422.2908756,-0.189371208,0.086202968,-2.196806133,0.028034295,0.082034335
ENSRNOG00000000034,Nuak2,1539.737042,-0.83473181,0.058936594,-14.1632178,1.55E-45,2.22E-43
ENSRNOG00000000035,Tmed11,0.380386916,0.547086659,4.222481427,0.129565202,0.896910436,
ENSRNOG00000000036,Klhdc8a,549.5366183,-0.110898727,0.067376286,-1.645960817,0.099771826,0.221029928
ENSRNOG00000000040,RGD1304622,763.4952119,0.072504459,0.081330563,0.891478631,0.37267245,0.56201079
ENSRNOG00000000041,Slc26a1,77.72764126,0.208226638,0.212196256,0.981292708,0.326448417,0.515895307
ENSRNOG00000000042,Xpr1,719.556346,-0.006216119,0.136540313,-0.045525887,0.963688141,0.980937541
ENSRNOG00000000043,Idua,1159.243891,-0.132748476,0.092739729,-1.431408922,0.152313053,0.301822184
ENSRNOG00000000044,Tmem175,985.6199197,-0.153861739,0.054068053,-2.845705172,0.00443132,0.018014566
ENSRNOG00000000047,Cd82,6861.967565,-0.247466178,0.05175689,-4.781318532,1.74E-06,1.63E-05
ENSRNOG00000000048,Gak,3053.39104,-0.025709949,0.058682042,-0.438122948,0.66129716,0.79803215
ENSRNOG00000000053,Crp,0.615787757,-0.762906138,2.335384497,-0.326672605,0.743915522,
ENSRNOG00000000054,Abhd8,794.8482736,0.165801105,0.071145638,2.330446528,0.019782563,0.062005663
ENSRNOG00000000055,Fcrl6,0.229307182,1.463220658,4.690809478,0.311933509,0.755091056,
ENSRNOG00000000060,unkown,8.302677352,0.349268761,0.624729212,0.559072242,0.576112418,0.734892004
ENSRNOG00000000062,Pcgf3,1386.568209,-0.04125182,0.096753994,-0.426357801,0.669847146,0.803326157
ENSRNOG00000000064,Atp5me,1625.157663,-0.07794318,0.140015469,-0.556675491,0.577749165,0.736418838
ENSRNOG00000000065,Pde6b,11.19010613,-0.201436848,0.525580436,-0.383265498,0.701522918,0.825288866
ENSRNOG00000000066,Fbxo28,908.6279465,0.207737443,0.071614423,2.9007766,0.003722392,0.015599678
ENSRNOG00000000068,Ppp2r5a,1640.418595,0.075626696,0.056063421,1.348949023,0.17735334,0.337153914
ENSRNOG00000000070,Dr1,2004.91309,-0.132220371,0.051729451,-2.555997945,0.010588374,0.037005288
ENSRNOG00000000073,Tmed5,443.1323095,0.181599354,0.096081283,1.890059626,0.058749986,0.147793774
ENSRNOG00000000075,Mtf2,563.8894429,0.248497556,0.082964178,2.995239171,0.002742297,0.012080216
ENSRNOG00000000081,Antxr2,1018.554076,0.30391473,0.103380502,2.939768356,0.003284577,0.014058102
ENSRNOG00000000082,Hltf,893.970603,-0.109187862,0.084788198,-1.287771934,0.197825365,0.36485476
ENSRNOG00000000091,Smad9,492.2513043,0.297370692,0.100480601,2.959483605,0.003081551,0.013329212
ENSRNOG00000000095,Gpr89b,1332.497354,-0.135028516,0.0573186,-2.355753922,0.018485159,0.058795133
ENSRNOG00000000096,Pdzk1,263.4788303,-0.019312573,0.113323458,-0.170419903,0.86467992,0.928312773
ENSRNOG00000000097,unkown,2.381570564,-1.162973743,1.001933569,-1.160729393,0.245751965,
ENSRNOG00000000098,Rnf115,2355.871677,-0.219217414,0.045797914,-4.786624375,1.70E-06,1.59E-05
ENSRNOG00000000104,Thoc3,1080.095491,0.217835839,0.058459453,3.72627224,0.000194333,0.001197788
ENSRNOG00000000105,Cplx2,829.8981245,0.220361333,0.111330611,1.979341814,0.047777535,0.126137588
ENSRNOG00000000108,Aga,1722.882548,0.021780699,0.064359901,0.338420331,0.735046455,0.848827318
ENSRNOG00000000111,Coprs,236.6882795,0.202721231,0.117771692,1.721306944,0.08519514,0.196133633
ENSRNOG00000000112,Champ1,1325.468382,0.118249682,0.063233765,1.870040178,0.061478239,0.152833563
ENSRNOG00000000113,Elac1,252.4544469,-0.032762492,0.111652968,-0.29343145,0.769192389,0.87129655
ENSRNOG00000000121,Pigv,366.1655026,-0.013063004,0.090141053,-0.144917369,0.884776113,0.939381148
ENSRNOG00000000122,Ak2,2170.216196,0.007974638,0.051541581,0.15472242,0.877040154,0.935120639
ENSRNOG00000000123,Rnf19b,1593.954506,0.023809183,0.052820975,0.450752431,0.652167989,0.791891999
ENSRNOG00000000127,Kpna6,2550.263249,0.041142552,0.059409678,0.692522715,0.488609126,0.663008529
ENSRNOG00000000129,Phf24,176.5925116,-0.128949394,0.132122233,-0.975985578,0.329071611,0.518626771
ENSRNOG00000000130,Dnajb5,1051.534882,-0.112899942,0.05905668,-1.911721783,0.055911889,0.142576284
ENSRNOG00000000133,Txndc15,1350.909925,-0.07438112,0.06674564,-1.114396692,0.265109042,0.447276896
ENSRNOG00000000137,Ly86,0.280219935,2.003476979,4.422631786,0.453005603,0.650544707,
ENSRNOG00000000138,Glis1,89.41166287,0.081928852,0.209040272,0.391928558,0.695111001,0.821078757
ENSRNOG00000000142,Plxdc2,1213.36888,-0.318340416,0.083327111,-3.820370251,0.000133251,0.000853421
ENSRNOG00000000145,Pik3r3,308.3759336,-0.131820553,0.138827701,-0.949526299,0.342353003,0.53164623
ENSRNOG00000000150,Dnajc1,2427.95948,-0.377839337,0.040584154,-9.310021201,1.28E-20,5.22E-19
ENSRNOG00000000151,Ldlrap1,398.6761544,-0.137561695,0.100948281,-1.362694767,0.172978728,0.331357497
