ID,TCPS.1,TCPS.2,TCPS.3,OM.1,OM.2,OM.3,BMP2.1,BMP2.2,BMP2.3,PT.1,PT.2,PT.3,mSLA.1,mSLA.2,mSLA.3,Titan.1,Titan.2,Titan.3
ENSRNOG00000020426,4258,4973,4691,2346,2164,2520,5947,4859,5887,4879,5028,3065,4716,4793,4915,3892,4255,4384
ENSRNOG00000020762,5652,6572,6561,4952,4756,5301,5876,5026,5887,5340,5842,3488,4885,4539,5186,4260,4768,4698
ENSRNOG00000022537,118,97,106,74,49,78,134,117,154,286,260,162,436,427,484,646,920,770
ENSRNOG00000013017,197,227,215,1093,1040,1146,185,178,197,181,198,117,143,110,137,66,89,72
ENSRNOG00000020552,800,989,863,517,507,596,826,677,825,1686,1575,828,2617,2612,2750,5504,6071,5855
ENSRNOG00000019565,5543,6060,6037,9294,8739,10182,5387,4525,5321,5228,5570,3560,5509,5257,5739,5390,5853,5601
ENSRNOG00000008393,8080,9903,9859,14786,13745,16037,8877,7114,8429,8445,9255,5635,9188,8878,9826,8263,9512,9456
ENSRNOG00000005936,261,306,295,222,219,246,409,318,352,555,575,365,1073,1043,1141,1252,1734,1569
ENSRNOG00000005600,423,530,493,220,226,221,526,458,454,442,523,275,701,594,719,359,425,454
ENSRNOG00000008825,4376,5131,5034,4590,4090,4680,4815,4096,4783,5607,5516,3405,7535,7244,7945,9305,9922,9800
ENSRNOG00000005413,10194,11421,10352,4015,3636,4451,11106,9536,11152,8026,8444,4997,6345,6527,6944,5319,6721,6433
ENSRNOG00000007805,531,601,584,315,271,352,779,603,735,1419,1235,731,2347,2256,2578,2840,3297,3203
ENSRNOG00000016299,1258,1352,1335,5787,5493,6111,1170,1082,1225,1452,1543,929,1962,1850,2125,2335,2543,2567
ENSRNOG00000015318,571,674,574,34,26,38,690,549,591,136,187,120,424,437,391,97,155,179
ENSRNOG00000058461,5638,6254,6018,3850,3484,4221,5660,4627,5526,5395,5956,3530,7656,7540,8346,9593,10456,10539
ENSRNOG00000056135,2024,2391,2252,34852,33339,36832,2023,1679,2109,1844,2013,1249,1634,1415,1533,1381,1336,1411
ENSRNOG00000006789,1122,1486,1338,442,418,438,1225,1101,1278,1230,1237,835,2034,2072,1858,1219,1128,1203
ENSRNOG00000021812,1839,2086,1853,129,132,124,1823,1520,1891,2264,2182,1347,1400,1407,1275,1280,1141,1248
ENSRNOG00000054420,3587,4137,3930,964,917,997,3480,2744,3176,2079,2462,1542,1418,1349,1573,648,918,906
ENSRNOG00000014082,63,85,51,5,7,12,242,175,257,272,277,150,193,207,234,450,562,594
ENSRNOG00000036833,1609,1781,1616,2144,2203,2451,1524,1318,1437,1465,1465,907,1443,1470,1472,1287,1474,1399
ENSRNOG00000058588,853,1169,1057,500,472,545,937,893,961,1003,1229,796,949,923,983,721,977,854
ENSRNOG00000015033,5237,5717,5901,12959,12043,14525,4783,4027,4793,4050,4416,2553,2905,2884,3066,2248,2661,2636
ENSRNOG00000004606,2191,2595,2497,1717,1552,1839,2488,2076,2465,1991,2173,1336,2085,2012,2239,1382,1621,1667
ENSRNOG00000002610,929,1317,1183,1988,1918,2189,1101,902,979,1170,1196,762,1642,1580,1602,2230,2160,2241
ENSRNOG00000010756,2322,2688,2607,1497,1594,1720,2411,2000,2448,2668,2683,1556,3504,3490,3643,4282,4433,4649
ENSRNOG00000004278,353,439,458,243,230,245,499,430,514,608,659,387,952,920,1026,1084,1332,1318
ENSRNOG00000019742,7659,8623,8511,10760,9820,11499,7517,6269,7385,6430,7099,4403,5563,5496,6236,4517,5949,5499
ENSRNOG00000020792,358,420,396,287,319,309,350,277,342,637,589,360,896,877,858,1512,1532,1620
ENSRNOG00000017828,499,536,484,31,42,40,233,229,270,419,527,313,209,204,217,111,216,166
ENSRNOG00000027234,415,489,551,357,248,331,488,453,532,878,864,507,1295,1198,1416,1851,1904,1833
ENSRNOG00000011668,1329,1617,1485,1834,1677,1847,1329,1067,1319,1233,1430,821,1122,1019,1086,971,1026,936
ENSRNOG00000013167,909,1100,1051,1263,1136,1277,1299,1044,1348,2333,2130,1379,4328,4214,4245,6489,6065,6008
ENSRNOG00000001720,1331,1464,1288,550,541,631,1225,1085,1297,1268,1232,730,1849,1817,1755,1122,1117,1193
ENSRNOG00000019422,11430,12724,11330,3067,3221,3321,7846,6141,7557,9456,10421,5979,8382,8144,8923,5421,6863,6520
ENSRNOG00000000488,4917,5401,5070,2293,2043,2476,4320,3808,4474,7495,6506,3764,13533,13360,13173,35532,39622,39797
ENSRNOG00000000640,778,824,735,67,61,71,376,339,413,591,727,412,333,317,350,279,294,263
