ID,TCPS.1,TCPS.2,TCPS.3,OM.1,OM.2,OM.3,BMP2.1,BMP2.2,BMP2.3,PT.1,PT.2,PT.3,mSLA.1,mSLA.2,mSLA.3,Titan.1,Titan.2,Titan.3
ENSRNOG00000011015,1978,2118,2258,1720,1437,1764,1955,1655,1769,1413,1640,983,2345,2148,2777,1486,2691,2514
ENSRNOG00000055858,0,3,0,0,0,0,0,6,6,5,4,4,11,5,14,11,11,15
ENSRNOG00000011720,388,387,421,285,287,321,358,291,374,303,406,219,281,256,339,199,307,289
ENSRNOG00000026462,29,27,21,32,16,35,34,23,33,58,51,40,97,135,109,168,160,139
ENSRNOG00000013364,38,53,39,19,15,14,83,57,57,26,30,18,58,38,52,22,25,8
ENSRNOG00000014721,1496,1766,1828,1222,1246,1333,1617,1406,1616,1429,1700,1037,1762,1567,1868,1369,1705,1889
ENSRNOG00000042308,52,65,58,82,79,101,67,36,55,50,44,30,71,93,61,68,80,76
ENSRNOG00000017963,60,85,74,151,172,174,79,54,72,66,51,46,74,76,78,55,47,66
ENSRNOG00000016462,119,178,161,200,189,248,153,147,151,165,140,75,166,190,189,138,158,167
ENSRNOG00000047145,188,217,221,265,264,324,188,198,202,184,208,148,223,208,203,121,238,251
ENSRNOG00000046353,19,33,28,41,56,57,17,16,26,24,22,20,18,15,25,15,25,16
ENSRNOG00000019544,362,378,410,259,227,290,462,371,412,452,480,271,575,569,645,550,675,551
ENSRNOG00000017030,1620,1691,1651,1139,1020,1237,1558,1316,1520,1364,1527,875,1919,1785,2152,1582,2216,2106
ENSRNOG00000018012,2546,2795,2890,1810,1757,2007,2821,2266,2640,2035,2735,1587,2777,2733,3424,1602,3384,3027
ENSRNOG00000021493,1,1,2,4,8,9,2,1,2,0,2,1,1,1,0,1,4,5
ENSRNOG00000059492,1077,1210,1244,747,715,825,1149,962,1132,996,1177,705,1073,1088,1178,811,918,927
ENSRNOG00000042826,122,133,148,179,157,243,124,106,138,137,123,74,149,160,151,155,227,194
ENSRNOG00000051570,206,205,232,346,311,356,157,142,207,168,181,108,163,198,215,133,191,164
