"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","47/320","377/18481",8.9819423153109e-27,3.02062720063906e-23,2.78723852058279e-23,"Kifc1/Tpx2/Prc1/Plk1/Cdc20/Racgap1/Kif11/Ccnb1/Tacc3/Ndc80/Nuf2/Incenp/Kif4a/Kif22/Spag5/Ncaph/Aurkb/Cenpe/Kif2c/Mybl2/Nek2/Espl1/Ncapd2/Mastl/Nusap1/Kif18b/Cenpt/Trip13/Aurka/Knstrn/Ska3/Ska1/Cdk1/Chtf18/Ube2c/Cenpi/Spc25/Fam83d/Sgo1/Cenph/Cdt1/Pttg1/Birc5/Spc24/Fbxo5/Cenpw/Hjurp",47
"GO:0098813","GO:0098813","nuclear chromosome segregation","40/320","287/18481",1.01344735122391e-24,1.704111721083e-21,1.57244357442531e-21,"Kifc1/Tpx2/Prc1/Plk1/Cdc20/Racgap1/Kif11/Ccnb1/Tacc3/Ndc80/Nuf2/Incenp/Kif4a/Kif22/Spag5/Ncaph/Aurkb/Cenpe/Kif2c/Mybl2/Nek2/Espl1/Ncapd2/Mastl/Nusap1/Kif18b/Trip13/Aurka/Knstrn/Cdk1/Ube2c/Cenpi/Spc25/Fam83d/Sgo1/Cdt1/Pttg1/Birc5/Spc24/Fbxo5",40
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","31/320","175/18481",1.52317083504007e-22,1.31069082474869e-19,1.20942033314839e-19,"Kifc1/Tpx2/Prc1/Plk1/Cdc20/Racgap1/Kif11/Ccnb1/Ndc80/Nuf2/Kif4a/Kif22/Spag5/Ncaph/Aurkb/Cenpe/Kif2c/Mybl2/Nek2/Espl1/Ncapd2/Nusap1/Kif18b/Trip13/Knstrn/Cdk1/Ube2c/Cenpi/Cdt1/Birc5/Fbxo5",31
"GO:0000819","GO:0000819","sister chromatid segregation","32/320","190/18481",1.55895429645994e-22,1.31069082474869e-19,1.20942033314839e-19,"Kifc1/Tpx2/Prc1/Plk1/Cdc20/Racgap1/Kif11/Ccnb1/Tacc3/Ndc80/Nuf2/Kif4a/Kif22/Spag5/Ncaph/Aurkb/Cenpe/Kif2c/Mybl2/Nek2/Espl1/Ncapd2/Nusap1/Kif18b/Trip13/Knstrn/Cdk1/Ube2c/Cenpi/Cdt1/Birc5/Fbxo5",32
"GO:0051301","GO:0051301","cell division","46/320","498/18481",1.02154717579739e-20,6.87092630441327e-18,6.34004436684361e-18,"Bcl2l1/Kifc1/Tpx2/Prc1/Ccna2/Plk1/Kif20a/Cdc20/Racgap1/Kif11/Ccnb1/Ndc80/Nuf2/Incenp/Kif4a/Cep55/Kif20b/Spag5/Ncaph/Aurkb/Kif2c/Ncapd2/Nusap1/Stmn1/Kif18b/Cenpt/Aurka/Knstrn/Cdca3/Ska3/Ska1/Cdk1/Sapcd2/Spc25/Sgo1/Cenpa/Pttg1/Birc5/Pdgfd/Spc24/E2f8/Cenpw/Oip5/Pard6b/Zbtb16/Myb",46
"GO:0000280","GO:0000280","nuclear division","42/320","446/18481",2.77773740648047e-19,1.5569218163323e-16,1.43662629373762e-16,"Kifc1/Tpx2/Prc1/Plk1/Cdc20/Racgap1/Kif11/Ccnb1/Ndc80/Nuf2/Incenp/Kif4a/Kif22/Spag5/Ncaph/Aurkb/Cenpe/Kif2c/Mybl2/Nek2/Espl1/Ncapd2/Cdkn1c/Mastl/Nusap1/Kif18b/Trip13/Ankle1/Aurka/Knstrn/Cdk1/Chtf18/Ube2c/Cenpi/Sgo1/Rad51/Cdt1/Pttg1/Birc5/Fbxo5/Rad54b/Eme1",42
"GO:0007051","GO:0007051","spindle organization","29/320","195/18481",5.72407214943307e-19,2.50204822973845e-16,2.30872754003128e-16,"Kifc1/Tpx2/Prc1/Plk1/Cdc20/Racgap1/Kif11/Ccnb1/Tacc3/Ndc80/Nuf2/Incenp/Kif4a/Spag5/Aurkb/Cenpe/Mybl2/Nek2/Espl1/Mastl/Stmn1/Aurka/Knstrn/Cdk1/Spc25/Cenph/Fbxo5/Stil/Plk5",29
"GO:0140014","GO:0140014","mitotic nuclear division","33/320","266/18481",5.9519434546261e-19,2.50204822973845e-16,2.30872754003128e-16,"Kifc1/Tpx2/Prc1/Plk1/Cdc20/Racgap1/Kif11/Ccnb1/Ndc80/Nuf2/Kif4a/Kif22/Spag5/Ncaph/Aurkb/Cenpe/Kif2c/Mybl2/Nek2/Espl1/Ncapd2/Cdkn1c/Nusap1/Kif18b/Trip13/Aurka/Knstrn/Cdk1/Ube2c/Cenpi/Cdt1/Birc5/Fbxo5",33
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","26/320","153/18481",1.30900006255001e-18,4.89129690039522e-16,4.51337097590344e-16,"Kifc1/Tpx2/Prc1/Plk1/Cdc20/Racgap1/Kif11/Ccnb1/Tacc3/Ndc80/Nuf2/Kif4a/Aurkb/Cenpe/Mybl2/Nek2/Nusap1/Stmn1/Aurka/Cdk1/Sapcd2/Spc25/Cenph/Cenpa/Stil/Plk5",26
"GO:0007052","GO:0007052","mitotic spindle organization","22/320","120/18481",1.16742434008103e-16,3.92604805569252e-14,3.62270205743041e-14,"Kifc1/Tpx2/Prc1/Plk1/Cdc20/Racgap1/Kif11/Ccnb1/Tacc3/Ndc80/Nuf2/Kif4a/Aurkb/Cenpe/Mybl2/Nek2/Stmn1/Aurka/Spc25/Cenph/Stil/Plk5",22
