"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","47/234","377/18481",4.18277814316102e-33,1.13646082149685e-29,1.05097804502372e-29,"Tpx2/Prc1/Cdc20/Kif11/Kif23/Bub1/Tacc3/Ttk/Kif4a/Kif22/Spag5/Ncaph/Aurkb/Bub1b/Cdca8/Kif2c/Mybl2/Espl1/Ncapd2/Mastl/Nusap1/Kif18b/Trip13/Aurka/Ska3/Ska1/Chtf18/Cenpi/Fancd2/Fam83d/Sgo1/Cenph/Ncapg/Knl1/Cdt1/Kntc1/Birc5/Nek2l1/Spc24/Kif18a/Cenpw/Kif14/Cdca5/Mki67/Sgo2/Cenpq/Psrc1",47
"GO:0098813","GO:0098813","nuclear chromosome segregation","39/234","287/18481",6.41388903187407e-29,8.71326824980092e-26,8.05787006267547e-26,"Tpx2/Prc1/Cdc20/Kif11/Kif23/Bub1/Tacc3/Ttk/Kif4a/Kif22/Spag5/Ncaph/Aurkb/Bub1b/Cdca8/Kif2c/Mybl2/Espl1/Ncapd2/Mastl/Nusap1/Kif18b/Trip13/Aurka/Cenpi/Fancd2/Fam83d/Sgo1/Ncapg/Knl1/Cdt1/Kntc1/Birc5/Spc24/Kif18a/Kif14/Cdca5/Cenpq/Psrc1",39
"GO:0000819","GO:0000819","sister chromatid segregation","32/234","190/18481",7.75079515844795e-27,6.86147218976415e-24,6.34536315865681e-24,"Tpx2/Prc1/Cdc20/Kif11/Kif23/Bub1/Tacc3/Ttk/Kif4a/Kif22/Spag5/Ncaph/Aurkb/Bub1b/Cdca8/Kif2c/Mybl2/Espl1/Ncapd2/Nusap1/Kif18b/Trip13/Cenpi/Ncapg/Knl1/Cdt1/Kntc1/Birc5/Kif18a/Kif14/Cdca5/Psrc1",32
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","31/234","175/18481",1.01015416853355e-26,6.86147218976415e-24,6.34536315865681e-24,"Tpx2/Prc1/Cdc20/Kif11/Kif23/Bub1/Ttk/Kif4a/Kif22/Spag5/Ncaph/Aurkb/Bub1b/Cdca8/Kif2c/Mybl2/Espl1/Ncapd2/Nusap1/Kif18b/Trip13/Cenpi/Ncapg/Knl1/Cdt1/Kntc1/Birc5/Kif18a/Kif14/Cdca5/Psrc1",31
"GO:0140014","GO:0140014","mitotic nuclear division","34/234","266/18481",2.2369855983406e-24,1.21557797413828e-21,1.12414413120821e-21,"Tpx2/Prc1/Cdc20/Kif11/Kif23/Bub1/Ttk/Kif4a/Kif22/Spag5/Ncaph/Aurkb/Bub1b/Cdca8/Kif2c/Mybl2/Espl1/Ncapd2/Nusap1/Kif18b/Trip13/Aurka/Cenpi/Ncapg/Knl1/Cdt1/Kntc1/Birc5/Kif18a/Kif14/Cdca5/Mki67/Psrc1/Fbxo43",34
"GO:0000280","GO:0000280","nuclear division","41/234","446/18481",1.13254200454086e-23,5.12852771056251e-21,4.74276800848952e-21,"Tpx2/Prc1/Cdc20/Kif11/Kif23/Bub1/Ttk/Kif4a/Kif22/Spag5/Ncaph/Aurkb/Bub1b/Cdca8/Kif2c/Mybl2/Espl1/Ncapd2/Mastl/Nusap1/Kif18b/Trip13/Aurka/Chtf18/Cenpi/Fancd2/Sgo1/Rad51/Ncapg/Knl1/Cdt1/Kntc1/Birc5/Kif18a/Kif14/Cdca5/Mki67/Sgo2/Rad54b/Psrc1/Fbxo43",41
"GO:0051301","GO:0051301","cell division","36/234","498/18481",2.03888566902288e-17,7.91378908962165e-15,7.31852645407159e-15,"Tpx2/Prc1/Cdc20/Kif11/Kif23/Kif4a/Spag5/Ncaph/Aurkb/Cdca8/Kif2c/Iqgap3/Ncapd2/Nusap1/Kif18b/Aurka/Ska3/Ska1/Sapcd2/Sgo1/Ncapg/Knl1/Cenpa/Birc5/Spc24/E2f8/Cenpw/Kif14/Cdca5/Sgo2/Oip5/Pard6b/Psrc1/Evi2b/Sfrp2/Myb",36
"GO:0051983","GO:0051983","regulation of chromosome segregation","16/234","99/18481",1.16195486133663e-13,3.94628919781452e-11,3.64945559738227e-11,"Cdc20/Bub1/Tacc3/Ttk/Ncaph/Aurkb/Bub1b/Kif2c/Ncapd2/Trip13/Chtf18/Ncapg/Knl1/Kntc1/Birc5/Mki67",16
"GO:0051303","GO:0051303","establishment of chromosome localization","16/234","104/18481",2.5792802725092e-13,7.78656055600833e-11,7.20086784851399e-11,"Kif22/Spag5/Aurkb/Cdca8/Kif2c/Fam83d/Sgo1/Knl1/Cdt1/Birc5/Spc24/Kif18a/Kif14/Cdca5/Cenpq/Psrc1",16
"GO:0051310","GO:0051310","metaphase chromosome alignment","15/234","88/18481",3.07427468856853e-13,8.35280432884069e-11,7.72451966485587e-11,"Kif22/Spag5/Aurkb/Cdca8/Kif2c/Fam83d/Sgo1/Knl1/Cdt1/Spc24/Kif18a/Kif14/Cdca5/Cenpq/Psrc1",15
