"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","43/417","377/18481",1.73354306755885e-18,7.12486200766685e-15,6.178712449215e-15,"Prc1/Plk1/Ccnb1/Racgap1/Cdc20/Top2a/Kif11/Dlgap5/Ect2/Kifc1/Tacc3/Kif4a/Ttk/Kif22/Nuf2/Cenpe/Cenpf/Bub1b/Aurkb/Ncaph/Espl1/Kif2c/Nek2/Kif18b/Nusap1/Ube2c/Aurka/Knstrn/Sgo1/Fam83d/Fancd2/Ska1/Cenph/Birc5/Nek2l1/Hjurp/Cdca5/Sgo2/Mei1/Mki67/Cenpq/Psrc1/Prdm9",43
"GO:0098813","GO:0098813","nuclear chromosome segregation","36/417","287/18481",5.71039769806947e-17,1.17348672695328e-13,1.01765297924543e-13,"Prc1/Plk1/Ccnb1/Racgap1/Cdc20/Top2a/Kif11/Ect2/Kifc1/Tacc3/Kif4a/Ttk/Kif22/Nuf2/Cenpe/Cenpf/Bub1b/Aurkb/Ncaph/Espl1/Kif2c/Nek2/Kif18b/Nusap1/Ube2c/Aurka/Knstrn/Sgo1/Fam83d/Fancd2/Birc5/Cdca5/Mei1/Cenpq/Psrc1/Prdm9",36
"GO:0000819","GO:0000819","sister chromatid segregation","27/417","190/18481",2.30878648129634e-14,3.16303747937598e-11,2.743000359884e-11,"Prc1/Plk1/Ccnb1/Racgap1/Cdc20/Top2a/Kif11/Kifc1/Tacc3/Kif4a/Ttk/Kif22/Nuf2/Cenpe/Bub1b/Aurkb/Ncaph/Espl1/Kif2c/Nek2/Kif18b/Nusap1/Ube2c/Knstrn/Birc5/Cdca5/Psrc1",27
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","25/417","175/18481",1.9093474630002e-13,1.9618545182327e-10,1.70132908150491e-10,"Prc1/Plk1/Ccnb1/Racgap1/Cdc20/Kif11/Kifc1/Kif4a/Ttk/Kif22/Nuf2/Cenpe/Bub1b/Aurkb/Ncaph/Espl1/Kif2c/Nek2/Kif18b/Nusap1/Ube2c/Knstrn/Birc5/Cdca5/Psrc1",25
"GO:0051303","GO:0051303","establishment of chromosome localization","19/417","104/18481",1.78729341983646e-12,1.46915519110557e-09,1.27405800411921e-09,"Ccnb1/Racgap1/Ect2/Kifc1/Kif22/Nuf2/Cenpe/Cenpf/Aurkb/Kif2c/Nek2/Knstrn/Sgo1/Fam83d/Birc5/Cdca5/Mei1/Cenpq/Psrc1",19
"GO:0140014","GO:0140014","mitotic nuclear division","29/417","266/18481",2.46795661089673e-12,1.69055027846426e-09,1.46605282184146e-09,"Cav2/Prc1/Plk1/Ccnb1/Racgap1/Cdc20/Kif11/Cdkn1c/Kifc1/Kif4a/Ttk/Kif22/Nuf2/Cenpe/Bub1b/Aurkb/Ncaph/Espl1/Kif2c/Nek2/Kif18b/Nusap1/Ube2c/Aurka/Knstrn/Birc5/Cdca5/Mki67/Psrc1",29
"GO:0050000","GO:0050000","chromosome localization","19/417","111/18481",5.99521164874139e-12,3.52004569661816e-09,3.05259949513358e-09,"Ccnb1/Racgap1/Ect2/Kifc1/Kif22/Nuf2/Cenpe/Cenpf/Aurkb/Kif2c/Nek2/Knstrn/Sgo1/Fam83d/Birc5/Cdca5/Mei1/Cenpq/Psrc1",19
"GO:0051310","GO:0051310","metaphase chromosome alignment","17/417","88/18481",1.04267313870285e-11,5.35673325008588e-09,4.64538322058926e-09,"Ccnb1/Racgap1/Ect2/Kifc1/Kif22/Nuf2/Cenpe/Cenpf/Aurkb/Kif2c/Nek2/Knstrn/Sgo1/Fam83d/Cdca5/Cenpq/Psrc1",17
"GO:0000280","GO:0000280","nuclear division","36/417","446/18481",3.94184444395808e-11,1.80010896274086e-08,1.56106260669498e-08,"Cav2/Prc1/Plk1/Ccnb1/Racgap1/Cdc20/Top2a/Kif11/Cdkn1c/Kifc1/Kif4a/Ttk/Kif22/Nuf2/Cenpe/Bub1b/Aurkb/Ncaph/Espl1/Kif2c/Nek2/Kif18b/Nusap1/Ube2c/Aurka/Knstrn/Sgo1/Ankle1/Fancd2/Birc5/Cdca5/Sgo2/Mei1/Mki67/Psrc1/Prdm9",36
"GO:0051301","GO:0051301","cell division","38/417","498/18481",5.79071304531629e-11,2.379983061625e-08,2.06393203909905e-08,"Vegfd/Bcl2l1/Prc1/Plk1/Ccnb1/Susd2/Racgap1/Cdc20/Top2a/Kif11/Ect2/Kifc1/Kif4a/Nuf2/Kif20b/Ccnf/Aurkb/Iqgap3/Ncaph/Kif2c/Kif18b/Nusap1/Aurka/Knstrn/Sgo1/Cdca3/Ska1/Cenpa/Sapcd2/Birc5/Ptn/Cdca5/Sgo2/Mei1/Zbtb16/Oip5/Psrc1/Htr2b",38
