ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbols
ENSRNOG00000000158,Cdo1,399.0690348,4.716544411,0.112229656,42.02582958,0.0,0.0,
ENSRNOG00000000172,Sqor,1645.577881,3.347972787,0.058883793,56.85728807,0.0,0.0,
ENSRNOG00000000281,Prodh1,33.80272191,5.165159577,0.432691651,11.93727581,7.57e-33,6.32e-32,
ENSRNOG00000000299,Foxo3,937.7740146,2.96045789,0.116560798,25.39840092,2.63e-142,1.07e-140,
ENSRNOG00000000302,Sesn1,764.7201501,3.601156013,0.078034458,46.14828,0.0,0.0,
ENSRNOG00000000394,Srgn,69.47915014,5.14335632,0.309729825,16.60594461,6.31e-62,9.479999999999999e-61,
ENSRNOG00000000478,unkown,38.73801913,2.363119311,0.24983117,9.458864987,3.11e-21,1.88e-20,
ENSRNOG00000000508,Armc12,1.389479159,5.429020123,1.898731891,2.859287374,0.00424594,0.008547734,
ENSRNOG00000000516,Pxt1,1.461041834,4.786085275,1.718683937,2.784738469,0.005357091,0.010609895,
ENSRNOG00000000566,Pcbd1,195.6529517,2.186221643,0.165124917,13.23980463,5.17e-40,5.14e-39,
ENSRNOG00000000569,Vsir,177.9901923,2.206641799,0.126412012,17.45595028,3.1e-68,5.14e-67,
ENSRNOG00000000572,Chst3,1669.197533,2.070677232,0.09396594,22.03646584,1.29e-107,3.6299999999999997e-106,
ENSRNOG00000000699,Selplg,1.840784317,3.560695001,1.588854534,2.24104531,0.02502314,0.044263857,
ENSRNOG00000000781,Rnf39,59.71192216,3.322136962,0.248362802,13.37614543,8.34e-41,8.45e-40,
ENSRNOG00000000825,Calhm5,143.3754578,2.352002652,0.132545866,17.74482096,1.89e-70,3.2199999999999997e-69,
ENSRNOG00000000907,Alox5ap,88.53131786,2.355600948,0.20068337,11.73789809,8.15e-32,6.630000000000001e-31,
ENSRNOG00000000956,Rasl11a,146.6434691,2.493977316,0.136859955,18.2228418,3.3999999999999997e-74,6.04e-73,
ENSRNOG00000001030,Tsc22d1,7945.460324,2.007884624,0.045765452,43.87337066,0.0,0.0,
ENSRNOG00000001066,Itih2,1.51604196,3.080655238,1.39630542,2.206290397,0.027363673,0.048053988,
