ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbols
ENSRNOG00000000158,Cdo1,399.0690348,4.716544411,0.112229656,42.02582958,0.0,0.0,
ENSRNOG00000000172,Sqor,1645.577881,3.347972787,0.058883793,56.85728807,0.0,0.0,
ENSRNOG00000000299,Foxo3,937.7740146,2.96045789,0.116560798,25.39840092,2.63e-142,1.07e-140,
ENSRNOG00000000302,Sesn1,764.7201501,3.601156013,0.078034458,46.14828,0.0,0.0,
ENSRNOG00000000394,Srgn,69.47915014,5.14335632,0.309729825,16.60594461,6.31e-62,9.479999999999999e-61,
ENSRNOG00000000478,unkown,38.73801913,2.363119311,0.24983117,9.458864987,3.11e-21,1.88e-20,
ENSRNOG00000000569,Vsir,177.9901923,2.206641799,0.126412012,17.45595028,3.1e-68,5.14e-67,
ENSRNOG00000000699,Selplg,1.840784317,3.560695001,1.588854534,2.24104531,0.02502314,0.044263857,
ENSRNOG00000000781,Rnf39,59.71192216,3.322136962,0.248362802,13.37614543,8.34e-41,8.45e-40,
ENSRNOG00000000956,Rasl11a,146.6434691,2.493977316,0.136859955,18.2228418,3.4e-74,6.04e-73,
ENSRNOG00000001030,Tsc22d1,7945.460324,2.007884624,0.045765452,43.87337066,0.0,0.0,
ENSRNOG00000001066,Itih2,1.51604196,3.080655238,1.39630542,2.206290397,0.027363673,0.048053988,
ENSRNOG00000001252,Chst12,586.5031838,2.238664976,0.08519587,26.27668413,3.54e-152,1.56e-150,
ENSRNOG00000001288,Gpr146,18.71914171,2.564398676,0.502305409,5.105257941,3.3e-07,1e-06,
ENSRNOG00000001302,Adora2a,11.81038904,5.197821939,0.7836376,6.63294097,3.29e-11,1.28e-10,
ENSRNOG00000001404,Agfg2,444.2201831,3.010109197,0.091499885,32.89740973,2.39e-237,2.04e-235,
ENSRNOG00000001419,Cldn15,86.01858323,2.085078444,0.177945661,11.71750094,1.04e-31,8.41e-31,
ENSRNOG00000001516,Rapgef4,480.6019155,2.747327251,0.122253083,22.4724579,7.72e-112,2.29e-110,
ENSRNOG00000001728,Fam43a,150.4411053,2.499616968,0.167770897,14.8989903,3.35e-50,4.08e-49,
