ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000004498,Scin,123.8215538,2.98819004,0.520727651,5.73848927,9.55e-09,1.29e-07
ENSRNOG00000005465,Kcnmb1,25.79989787,2.006447735,0.459218145,4.369269287,1.25e-05,9.98e-05
ENSRNOG00000006715,unkown,17.5039628,4.312055195,0.632522945,6.817231262,9.28e-12,1.82e-10
ENSRNOG00000020441,Vps25,60.89269276,2.102031135,0.263626672,7.97351467,1.54e-15,4.37e-14
ENSRNOG00000021752,Foxq1,243.6406897,3.042986465,0.146550203,20.76412313,9.14e-96,6.89e-93
ENSRNOG00000039698,Prss22,10.64194591,3.084914778,0.94390635,3.268242426,0.001082176,0.005376985
ENSRNOG00000046521,unkown,116.030419,2.604870381,0.21287196,12.23679427,1.98e-34,1.7700000000000002e-32
ENSRNOG00000053350,unkown,5.400770613,2.552098756,0.765453819,3.334098926,0.000855762,0.00437609
ENSRNOG00000054073,unkown,6.510060146,2.850181662,0.993487101,2.868866298,0.004119459,0.016994319
ENSRNOG00000059956,Bcl6b,6.19836707,2.071698969,0.814812985,2.542545353,0.011004832,0.038283801
ENSRNOG00000000158,Cdo1,399.0690348,5.164733403,0.137214575,37.63983089,0.0,0.0
ENSRNOG00000000299,Foxo3,937.7740146,3.241199691,0.120194182,26.96636101,3.67e-160,2.08e-158
ENSRNOG00000000394,Srgn,69.47915014,4.203044905,0.274799237,15.29496569,8.26e-53,1.35e-51
ENSRNOG00000000566,Pcbd1,195.6529517,2.165711577,0.169943297,12.74373048,3.38e-37,3.87e-36
ENSRNOG00000000781,Rnf39,59.71192216,3.747903214,0.282816446,13.25206954,4.3899999999999995e-40,5.36e-39
ENSRNOG00000001030,Tsc22d1,7945.460324,2.118239427,0.04635746,45.69360382,0.0,0.0
ENSRNOG00000001242,Gstt3,24.67635695,3.453299841,0.420477868,8.212798118,2.16e-16,1.27e-15
ENSRNOG00000001288,Gpr146,18.71914171,2.861685584,0.538760146,5.311613345,1.09e-07,3.86e-07
ENSRNOG00000001302,Adora2a,11.81038904,4.363046483,0.710624912,6.139731955,8.27e-10,3.43e-09
ENSRNOG00000001376,Mettl7a,538.5213798,3.206512911,0.088068135,36.40945643,3.02e-290,3.43e-288
ENSRNOG00000001728,Fam43a,150.4411053,2.763481441,0.18015343,15.33959941,4.16e-53,6.88e-52
ENSRNOG00000001926,Cldn1,91.4188346,7.847598387,0.607057683,12.92726969,3.16e-38,3.68e-37
ENSRNOG00000002097,Rasl11b,2413.14462,2.453865966,0.050770876,48.33215751,0.0,0.0
ENSRNOG00000002154,Mepe,33.89942449,3.024475069,0.346231675,8.735408357,2.43e-18,1.55e-17
ENSRNOG00000002414,Tfcp2l1,8.873171781,2.387441813,0.7480495,3.191555924,0.001415087,0.0032596
ENSRNOG00000002701,Hgd,29.89989733,4.584717124,0.434003764,10.56377272,4.39e-26,3.67e-25
ENSRNOG00000003742,Cdkl5,79.67014945,2.439435334,0.194070644,12.56983173,3.09e-36,3.4500000000000004e-35
ENSRNOG00000004210,Osr1,2442.757761,2.169913963,0.050731242,42.77273498,0.0,0.0
ENSRNOG00000004296,Nt5c1b,41.9522652,4.590881023,0.368936501,12.44355332,1.5200000000000002e-35,1.66e-34
ENSRNOG00000004298,Dpys,7.355902373,3.530692458,0.796987105,4.430049667,9.42e-06,2.82e-05
ENSRNOG00000004328,Deptor,211.3363159,2.857074709,0.2027755,14.08984177,4.39e-45,5.95e-44
ENSRNOG00000004448,Acss3,142.7633928,7.027008416,0.385879591,18.21036558,4.27e-74,9.830000000000001e-73
ENSRNOG00000004498,Scin,123.8215538,6.937165743,0.500407816,13.86302435,1.06e-43,1.3999999999999998e-42
ENSRNOG00000004540,Clec3b,44.47823761,6.513239356,0.612095815,10.64088202,1.92e-26,1.62e-25
ENSRNOG00000004610,Lum,7.4094046,3.13183495,0.693434838,4.516408434,6.29e-06,1.91e-05
ENSRNOG00000005157,Rbbp7,13251.47671,2.108312597,0.0461393,45.69450806,0.0,0.0
ENSRNOG00000005190,Nipal2,48.03407747,3.390598252,0.296603421,11.43141992,2.91e-30,2.75e-29
ENSRNOG00000005228,Gnptab,3333.556313,2.423831093,0.071795554,33.76018362,7.579999999999998e-250,7.65e-248
ENSRNOG00000005465,Kcnmb1,25.79989787,2.866331512,0.450564672,6.361642817,2e-10,8.54e-10
ENSRNOG00000006060,Matn2,172.4292959,2.611593345,0.124729198,20.93810737,2.41e-97,7.56e-96
ENSRNOG00000006146,Trim54,32.26334252,2.733306462,0.340153459,8.03550983,9.32e-16,5.3e-15
ENSRNOG00000006167,Rasal3,5.846261726,3.09133151,0.881588068,3.506548717,0.000453958,0.00112254
ENSRNOG00000006231,Ptpro,13.44909769,4.367377512,0.619027929,7.055218845,1.72e-12,8.33e-12
ENSRNOG00000006280,Pcsk9,40.375466,2.410678612,0.288204507,8.364472282,6.04e-17,3.63e-16
ENSRNOG00000006334,Txndc16,244.3399598,2.341806984,0.11789008,19.86432596,8.29e-88,2.32e-86
ENSRNOG00000006653,Slc38a4,199.7720266,3.885380792,0.149010672,26.07451356,7.1e-150,3.63e-148
ENSRNOG00000007390,Nfkbia,685.8131347,2.359524583,0.103817057,22.72771606,2.38e-114,9.069999999999999e-113
ENSRNOG00000007433,Cyb561,13.74140497,3.767346375,0.558584887,6.744447372,1.54e-11,7e-11
ENSRNOG00000007457,Serping1,144.5287323,4.754491339,0.233600498,20.35308733,4.3599999999999996e-92,1.29e-90
ENSRNOG00000007484,Ehf,2.38697817,5.970428923,1.693899689,3.524664986,0.000424019,0.001053493
ENSRNOG00000007551,Patj,620.4686074,2.167789487,0.100638529,21.54035348,6.520000000000002e-103,2.17e-101
ENSRNOG00000007799,Fam151a,144.8866156,2.042663652,0.154868287,13.18968323,1.01e-39,1.22e-38
ENSRNOG00000007946,Bcl2l1,2469.93617,2.405350466,0.058595227,41.05027979,0.0,0.0
ENSRNOG00000007947,Fam13a,58.02042666,3.1721131,0.261069719,12.15044436,5.7099999999999995e-34,6.04e-33
ENSRNOG00000007989,Chst1,54.53321832,2.879358266,0.280460417,10.26654064,9.97e-25,7.97e-24
ENSRNOG00000008943,Penk,41032.20651,4.432982302,0.071366716,62.11554259,0.0,0.0
ENSRNOG00000009033,Cntn2,148.9601217,2.156199832,0.224866161,9.588814173,8.91e-22,6.47e-21
ENSRNOG00000009079,Prkar2b,824.1228229,2.290758393,0.079219088,28.91674792,7.35e-184,5.06e-182
ENSRNOG00000009204,Il17re,570.1589358,4.259527005,0.099916702,42.63078068,0.0,0.0
ENSRNOG00000009219,Hepacam,6.508771463,2.551808146,0.699187179,3.649678116,0.000262569,0.000671527
ENSRNOG00000009565,Pdk4,93.57260241,4.331878971,0.247156419,17.52687221,8.94e-69,1.92e-67
ENSRNOG00000009892,Adamts15,151.9150847,5.685141815,0.25342482,22.43324793,1.87e-111,6.79e-110
ENSRNOG00000010047,Ddit4l,76.23212171,5.392374576,0.347174204,15.53218678,2.0999999999999997e-54,3.55e-53
ENSRNOG00000010302,Rasl10b,467.1517596,3.573469422,0.126199662,28.31599831,2.2e-176,1.41e-174
ENSRNOG00000010535,Cdh18,189.0156165,2.224526606,0.13226969,16.81811312,1.8e-63,3.51e-62
ENSRNOG00000010598,unkown,12.84477898,2.020563489,0.578288527,3.494040422,0.000475769,0.00117223
ENSRNOG00000011184,Slc13a4,14.91667932,5.42412249,0.733925447,7.39056332,1.46e-13,7.45e-13
ENSRNOG00000011201,Cmtm8,5.928598052,2.170788352,0.759976955,2.856387075,0.004284924,0.009153195
ENSRNOG00000011263,Plac9,321.2301502,2.683554876,0.14385612,18.65443667,1.16e-77,2.84e-76
ENSRNOG00000011723,Slc44a3,6.900148095,2.31242303,0.663740192,3.483927988,0.000494112,0.00121473
ENSRNOG00000011971,C1s,1413.693676,2.380285919,0.063545951,37.45771155,4.5e-307,5.55e-305
