ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000014907,Prmt7,12.21739468,2.275676091,0.488601613,4.657528812,3.2e-06,1.1e-05
ENSRNOG00000011815,Zup1,3014.014209,3.588046284,0.053627915,66.90631696,0.0,0.0
ENSRNOG00000016625,unkown,9.834924702,2.54300952,0.566596719,4.488217871,7.18e-06,2.38e-05
ENSRNOG00000060475,Tfip11,9.342271078,3.267850969,0.977309184,3.343722769,0.000826623,0.002133451
ENSRNOG00000021493,Abcf1,2.453429309,2.397264284,1.023107835,2.343119857,0.019123239,0.038235979
ENSRNOG00000053260,Auts2l1,20.40811587,2.162791307,0.414357171,5.219630457,1.79e-07,6.91e-07
ENSRNOG00000016362,Cux2,5.249897677,2.705567469,0.962470386,2.811065679,0.004937771,0.011157928
ENSRNOG00000028891,Fzd9,37.50631433,2.198114343,0.262150741,8.384925156,5.08e-17,3.48e-16
ENSRNOG00000015829,Trim7,25.46660785,2.447032406,0.41395932,5.911287135,3.39e-09,1.5e-08
ENSRNOG00000014030,Rhoh,813.8761217,4.499119227,0.106637209,42.19089454,0.0,0.0
ENSRNOG00000051253,Tekt5,89.31604032,2.502253029,0.201973282,12.38902989,3e-35,3.61e-34
ENSRNOG00000011160,Ero1b,64.6214582,5.399132136,0.355347738,15.19393979,3.88e-52,6.75e-51
ENSRNOG00000018940,Dlg3,10.54270593,4.298833202,0.666703357,6.447894935,1.13e-10,5.47e-10
ENSRNOG00000013017,Rbfox1,317.8230917,2.365554917,0.091437208,25.87081303,1.42e-147,7.49e-146
ENSRNOG00000015310,Shroom4,644.3769131,4.975442739,0.102380326,48.59764524,0.0,0.0
ENSRNOG00000020425,Rpa1,1508.168293,2.00388537,0.059460083,33.70135483,5.519999999999998e-249,5.47e-247
ENSRNOG00000027030,unkown,647.9453266,4.868655241,0.117425884,41.46151663,0.0,0.0
ENSRNOG00000018262,Grin2c,11.03427819,2.956733776,0.544912112,5.426074614,5.76e-08,2.32e-07
ENSRNOG00000019342,Prox1,256.303493,7.515526542,0.314088663,23.92804144,1.56e-126,6.930000000000001e-125
ENSRNOG00000053015,Acot9,45.14181551,2.47083097,0.247119877,9.998511663,1.55e-23,1.35e-22
ENSRNOG00000022737,C1qtnf2,3.760118376,4.031524273,1.107956624,3.638702261,0.000274015,0.000758604
ENSRNOG00000016102,Tnpo2,1.455271084,3.472729063,1.508909537,2.301482613,0.021364367,0.042271457
ENSRNOG00000020434,AABR07062753.1,7.899197779,2.153369536,0.575211057,3.743616383,0.000181391,0.000513813
ENSRNOG00000013426,Egfl6,147.3745759,2.132170855,0.161874653,13.17174011,1.28e-39,1.72e-38
ENSRNOG00000016791,Cltc,231.1887919,2.021843657,0.122252454,16.5382664,1.95e-61,3.8999999999999996e-60
ENSRNOG00000020025,Fam117a,679.3460624,2.196286384,0.087346963,25.1443932,1.63e-139,8.14e-138
ENSRNOG00000021098,Ofd1,45.82242362,3.94189609,0.29702088,13.27144437,3.39e-40,4.64e-39
ENSRNOG00000020349,Ralgps2,125.08005,2.506514007,0.17970002,13.94832349,3.22e-44,4.78e-43
ENSRNOG00000018282,Rnf215,5111.485389,3.889209594,0.112808265,34.47628232,1.82e-260,1.93e-258
ENSRNOG00000027770,Erbb3,71.60079024,4.333981351,0.258658384,16.75561908,5.15e-63,1.07e-61
ENSRNOG00000025476,Ndufaf1,98.21377366,3.406963026,0.184244797,18.49150192,2.42e-76,6.17e-75
ENSRNOG00000016075,Acvr1,1.840604462,4.940312581,1.858423503,2.658335182,0.007852775,0.017044921
ENSRNOG00000050224,Tp53i3,1280.066522,2.638719351,0.072711744,36.29013951,2.31e-288,2.77e-286
ENSRNOG00000015051,Ppp2ca,3.223354315,3.779504461,1.0587383,3.569819343,0.000357227,0.00097213
ENSRNOG00000013279,Rbm28,12.69939622,4.997003833,0.759786474,6.576852845,4.81e-11,2.38e-10
ENSRNOG00000016541,Igf2bp1,2865.447933,2.94592822,0.054885518,53.67405379,0.0,0.0
