ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000156,Megf6,16.87393965,2.061009099,0.687384591,2.998334741,0.002714593,0.011979186
ENSRNOG00000001714,Atp13a4,21.93520178,2.907736937,0.764030208,3.805787922,0.000141353,0.000899576
ENSRNOG00000004498,Scin,123.8215538,2.98819004,0.520727651,5.73848927,9.55e-09,1.29e-07
ENSRNOG00000005465,Kcnmb1,25.79989787,2.006447735,0.459218145,4.369269287,1.25e-05,9.98e-05
ENSRNOG00000006715,unkown,17.5039628,4.312055195,0.632522945,6.817231262,9.28e-12,1.82e-10
ENSRNOG00000011160,Sv2b,64.6214582,3.183103783,1.260464826,2.525341222,0.0115586,0.039869101
ENSRNOG00000015365,Col4a3,403.8465781,2.721063507,0.165120055,16.47930351,5.17e-61,1.3200000000000001e-58
ENSRNOG00000020441,Vps25,60.89269276,2.102031135,0.263626672,7.97351467,1.54e-15,4.37e-14
ENSRNOG00000028841,Mt1m,34.63976108,2.78623368,1.089715082,2.556846028,0.010562596,0.036940896
ENSRNOG00000046521,unkown,116.030419,2.604870381,0.21287196,12.23679427,1.98e-34,1.7700000000000002e-32
ENSRNOG00000046717,unkown,34.1961231,2.993714623,1.150461165,2.602186596,0.009263144,0.03312662
ENSRNOG00000052311,unkown,7.896155759,2.04779962,0.592995648,3.453313065,0.000553746,0.002976088
ENSRNOG00000053350,unkown,5.400770613,2.552098756,0.765453819,3.334098926,0.000855762,0.00437609
ENSRNOG00000054073,unkown,6.510060146,2.850181662,0.993487101,2.868866298,0.004119459,0.016994319
ENSRNOG00000056249,unkown,8.801188753,2.005395156,0.628977198,3.188343174,0.001430906,0.006876197
ENSRNOG00000059956,Bcl6b,6.19836707,2.071698969,0.814812985,2.542545353,0.011004832,0.038283801
ENSRNOG00000000158,Cdo1,399.0690348,4.716544411,0.112229656,42.02582958,0.0,0.0
ENSRNOG00000000172,Sqor,1645.577881,3.347972787,0.058883793,56.85728807,0.0,0.0
ENSRNOG00000000299,Foxo3,937.7740146,2.96045789,0.116560798,25.39840092,2.63e-142,1.07e-140
